config,method,type,mean_est,mean_true,mean_mae,std_mae
enc_256,ENGPE,ST,0.949810,0.594575,0.355234,0.165533
enc_256,ENGPE,TA,0.950116,0.768761,0.181355,0.060462
enc_256,ENGPE-TA,ST,0.794219,0.594575,0.199644,0.077882
enc_256,ENGPE-TA,TA,0.848713,0.768761,0.083482,0.035585
enc_256,ATC,ST,0.794079,0.594575,0.199504,0.097855
enc_256,ATC,TA,0.794079,0.768761,0.071418,0.052381
enc_256,ATC-NE,ST,0.787606,0.594575,0.193030,0.090734
enc_256,ATC-NE,TA,0.787606,0.768761,0.077563,0.060813
enc_256,AC,ST,0.891952,0.594575,0.297377,0.141956
enc_256,AC,TA,0.891952,0.768761,0.126319,0.050427
enc_256,DOC,ST,0.891928,0.594575,0.297352,0.141956
enc_256,DOC,TA,0.891928,0.768761,0.126296,0.050424
enc_256,COT,ST,0.785057,0.594575,0.190481,0.083108
enc_256,COT,TA,0.785057,0.768761,0.085217,0.069514
