config,method,type,mean_est,mean_true,mean_mae,std_mae
enc_256,ENGPE,ST,0.942731,0.557898,0.384833,0.175401
enc_256,ENGPE,TA,0.943297,0.761561,0.181797,0.065006
enc_256,ENGPE-TA,ST,0.785859,0.557898,0.227961,0.098912
enc_256,ENGPE-TA,TA,0.837494,0.761561,0.084408,0.040547
enc_256,ATC,ST,0.767927,0.557898,0.210028,0.102440
enc_256,ATC,TA,0.767927,0.761561,0.075763,0.064011
enc_256,ATC-NE,ST,0.685530,0.557898,0.127631,0.073821
enc_256,ATC-NE,TA,0.685530,0.761561,0.095491,0.114598
enc_256,AC,ST,0.849770,0.557898,0.291871,0.138287
enc_256,AC,TA,0.849770,0.761561,0.101262,0.050111
enc_256,DOC,ST,0.849707,0.557898,0.291809,0.138287
enc_256,DOC,TA,0.849707,0.761561,0.101211,0.050103
enc_256,COT,ST,0.744295,0.557898,0.186397,0.090315
enc_256,COT,TA,0.744295,0.761561,0.089848,0.092903
