dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity30,enc_64,val_source,3.806314,0.000000,0.969200,0.994119,0.996186,0.005881,0.003814,0.030800
breeds,entity30,enc_64,val_source,6.725999,0.010100,0.969700,0.986629,0.990110,0.004623,0.001821,0.025750
breeds,entity30,enc_64,val_source,7.797575,0.020200,0.968200,0.978465,0.980821,0.003682,0.001426,0.021637
breeds,entity30,enc_64,val_source,8.516130,0.030300,0.962900,0.969656,0.971314,0.003055,0.001135,0.019387
breeds,entity30,enc_64,val_source,9.118033,0.040400,0.958000,0.960655,0.961623,0.002514,0.000934,0.016880
breeds,entity30,enc_64,val_source,9.587058,0.050500,0.951500,0.951170,0.952120,0.002218,0.000629,0.015166
breeds,entity30,enc_64,val_source,10.013796,0.060600,0.944800,0.941801,0.942033,0.001852,0.000629,0.013518
breeds,entity30,enc_64,val_source,10.273667,0.070700,0.935700,0.932004,0.932320,0.001710,0.000427,0.013127
breeds,entity30,enc_64,val_source,10.555158,0.080800,0.926600,0.922194,0.922229,0.001570,0.000427,0.012699
breeds,entity30,enc_64,val_source,10.843086,0.090900,0.918500,0.912410,0.912138,0.001414,0.000427,0.011762
breeds,entity30,enc_64,val_source,11.129561,0.101000,0.909800,0.902633,0.902046,0.001251,0.000427,0.011115
breeds,entity30,enc_64,val_source,11.291728,0.111100,0.901500,0.892704,0.891955,0.001168,0.000427,0.010217
breeds,entity30,enc_64,val_source,11.501163,0.121200,0.892600,0.882862,0.881864,0.001035,0.000427,0.009672
breeds,entity30,enc_64,val_source,11.657480,0.131300,0.883500,0.872916,0.871772,0.000958,0.000427,0.009206
breeds,entity30,enc_64,val_source,11.823189,0.141400,0.874400,0.862955,0.861816,0.000889,0.000349,0.008723
breeds,entity30,enc_64,val_source,11.963902,0.151500,0.865300,0.852894,0.851723,0.000876,0.000349,0.008246
breeds,entity30,enc_64,val_source,12.111108,0.161600,0.856000,0.842877,0.841815,0.000837,0.000238,0.007845
breeds,entity30,enc_64,val_source,12.247869,0.171700,0.847100,0.832854,0.831916,0.000801,0.000120,0.007239
breeds,entity30,enc_64,val_source,12.364087,0.181800,0.837400,0.822855,0.821819,0.000749,0.000120,0.007070
breeds,entity30,enc_64,val_source,12.482041,0.191900,0.828100,0.812788,0.811721,0.000738,0.000120,0.006656
breeds,entity30,enc_64,val_source,12.587523,0.202000,0.818400,0.802703,0.801623,0.000738,0.000120,0.006513
breeds,entity30,enc_64,val_source,12.700681,0.212100,0.809300,0.792637,0.791526,0.000726,0.000120,0.005930
breeds,entity30,enc_64,val_source,12.794377,0.222200,0.799200,0.782661,0.781428,0.000656,0.000120,0.005930
breeds,entity30,enc_64,val_source,12.911542,0.232300,0.789900,0.772574,0.771331,0.000656,0.000120,0.005577
breeds,entity30,enc_64,val_source,13.013055,0.242400,0.780400,0.762513,0.761233,0.000639,0.000120,0.005264
breeds,entity30,enc_64,val_source,13.108139,0.252500,0.770300,0.752466,0.751136,0.000612,0.000120,0.005264
breeds,entity30,enc_64,val_source,13.200124,0.262600,0.760600,0.742379,0.741038,0.000612,0.000120,0.005152
breeds,entity30,enc_64,val_source,13.286651,0.272700,0.750700,0.732420,0.730940,0.000523,0.000120,0.005027
breeds,entity30,enc_64,val_source,13.390979,0.282800,0.740600,0.722331,0.720843,0.000523,0.000120,0.005027
breeds,entity30,enc_64,val_source,13.482860,0.292900,0.730700,0.712336,0.710745,0.000456,0.000120,0.005027
breeds,entity30,enc_64,val_source,13.565183,0.303000,0.720800,0.702294,0.700648,0.000421,0.000120,0.004991
breeds,entity30,enc_64,val_source,13.675820,0.313100,0.710700,0.692257,0.690550,0.000381,0.000120,0.004991
breeds,entity30,enc_64,val_source,13.768365,0.323200,0.700800,0.682165,0.680453,0.000381,0.000120,0.004962
breeds,entity30,enc_64,val_source,13.858596,0.333300,0.690700,0.672072,0.670355,0.000381,0.000120,0.004962
breeds,entity30,enc_64,val_source,13.940606,0.343400,0.680600,0.662022,0.660257,0.000350,0.000120,0.004962
breeds,entity30,enc_64,val_source,14.003906,0.353500,0.670700,0.651929,0.650160,0.000350,0.000120,0.004962
breeds,entity30,enc_64,val_source,14.079394,0.363600,0.660600,0.641894,0.640062,0.000304,0.000120,0.004962
breeds,entity30,enc_64,val_source,14.154701,0.373700,0.650700,0.631800,0.629965,0.000304,0.000120,0.004962
breeds,entity30,enc_64,val_source,14.234745,0.383800,0.640800,0.621706,0.619867,0.000304,0.000120,0.004962
breeds,entity30,enc_64,val_source,14.314937,0.393900,0.630900,0.611612,0.609769,0.000304,0.000120,0.004913
breeds,entity30,enc_64,val_source,14.390791,0.404000,0.621200,0.601518,0.599672,0.000304,0.000120,0.004675
breeds,entity30,enc_64,val_source,14.465767,0.414100,0.611100,0.591425,0.589574,0.000304,0.000120,0.004675
