dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,nonliving26,enc_64,val_source,3.241184,0.000000,0.964000,0.990449,0.995984,0.009551,0.004016,0.036000
breeds,nonliving26,enc_64,val_source,5.810684,0.010100,0.963700,0.985353,0.990512,0.007121,0.001719,0.031417
breeds,nonliving26,enc_64,val_source,6.864963,0.020200,0.961200,0.978304,0.981416,0.005638,0.001225,0.027863
breeds,nonliving26,enc_64,val_source,7.381795,0.030300,0.958300,0.969774,0.972123,0.004887,0.000821,0.024441
breeds,nonliving26,enc_64,val_source,7.776684,0.040400,0.955000,0.960601,0.962225,0.004455,0.000725,0.021155
breeds,nonliving26,enc_64,val_source,8.232370,0.050500,0.949100,0.951580,0.953116,0.003934,0.000211,0.019168
breeds,nonliving26,enc_64,val_source,8.649825,0.060600,0.942200,0.942398,0.943218,0.003488,0.000105,0.017665
breeds,nonliving26,enc_64,val_source,8.981164,0.070700,0.934700,0.932945,0.933120,0.003178,0.000105,0.016450
breeds,nonliving26,enc_64,val_source,9.334938,0.080800,0.926400,0.923484,0.923216,0.002865,0.000000,0.015645
breeds,nonliving26,enc_64,val_source,9.564146,0.090900,0.918300,0.913900,0.913116,0.002613,0.000000,0.014740
breeds,nonliving26,enc_64,val_source,9.762373,0.101000,0.910800,0.904016,0.903016,0.002523,0.000000,0.013456
breeds,nonliving26,enc_64,val_source,9.978994,0.111100,0.902100,0.894107,0.892916,0.002443,0.000000,0.012823
breeds,nonliving26,enc_64,val_source,10.207026,0.121200,0.893200,0.884264,0.882816,0.002325,0.000000,0.012253
breeds,nonliving26,enc_64,val_source,10.378146,0.131300,0.884900,0.874376,0.872716,0.002231,0.000000,0.011391
breeds,nonliving26,enc_64,val_source,10.565778,0.141400,0.875800,0.864538,0.862616,0.002104,0.000000,0.010939
breeds,nonliving26,enc_64,val_source,10.734618,0.151500,0.866500,0.854624,0.852516,0.002020,0.000000,0.010575
breeds,nonliving26,enc_64,val_source,10.896999,0.161600,0.857800,0.844668,0.842416,0.001958,0.000000,0.009894
breeds,nonliving26,enc_64,val_source,11.043142,0.171700,0.848900,0.834678,0.832316,0.001916,0.000000,0.009278
breeds,nonliving26,enc_64,val_source,11.169700,0.181800,0.839800,0.824715,0.822216,0.001855,0.000000,0.008770
breeds,nonliving26,enc_64,val_source,11.302322,0.191900,0.830700,0.814653,0.812116,0.001855,0.000000,0.008257
breeds,nonliving26,enc_64,val_source,11.412671,0.202000,0.821200,0.804594,0.802016,0.001853,0.000000,0.007980
