dataset,breeds_name,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,corr_source_brightness_sev1,1.079170,0.000000,0.938923,0.939556,0.914858,0.060444,0.085142,0.061077
breeds,entity13,corr_source_brightness_sev1,3.880103,0.010000,0.942462,0.933144,0.914134,0.059242,0.081317,0.054805
breeds,entity13,corr_source_brightness_sev1,4.419891,0.020154,0.942462,0.925950,0.917829,0.058346,0.075093,0.050220
breeds,entity13,corr_source_brightness_sev1,4.905389,0.030154,0.941385,0.920656,0.917262,0.056521,0.071004,0.046161
breeds,entity13,corr_source_brightness_sev1,5.338966,0.040308,0.938000,0.915718,0.915519,0.054402,0.067373,0.043068
breeds,entity13,corr_source_brightness_sev1,5.599324,0.050462,0.934308,0.909275,0.913943,0.053030,0.063577,0.040129
breeds,entity13,corr_source_brightness_sev1,5.922105,0.060462,0.930154,0.904676,0.913897,0.050719,0.058956,0.037498
breeds,entity13,corr_source_brightness_sev1,6.185483,0.070615,0.926462,0.899604,0.910685,0.048540,0.055866,0.034414
breeds,entity13,corr_source_brightness_sev1,6.445069,0.080769,0.922154,0.895399,0.908923,0.045840,0.051918,0.031611
breeds,entity13,corr_source_brightness_sev1,6.688005,0.090769,0.916462,0.890328,0.907350,0.043634,0.047855,0.029611
breeds,entity13,corr_source_brightness_sev1,6.936656,0.100923,0.911231,0.885548,0.901183,0.041138,0.046179,0.027161
breeds,entity13,corr_source_brightness_sev1,7.214048,0.111077,0.907231,0.881912,0.894350,0.037942,0.044838,0.024057
breeds,entity13,corr_source_brightness_sev1,7.369414,0.121077,0.901231,0.875595,0.891996,0.036278,0.040999,0.022055
breeds,entity13,corr_source_brightness_sev1,7.536509,0.131231,0.894462,0.869022,0.887880,0.034641,0.038003,0.020325
breeds,entity13,corr_source_brightness_sev1,7.770411,0.141385,0.889538,0.863767,0.880640,0.032199,0.036755,0.017560
breeds,entity13,corr_source_brightness_sev1,7.938988,0.151385,0.881077,0.857601,0.875276,0.030319,0.034457,0.016857
breeds,entity13,corr_source_brightness_sev1,8.106870,0.161538,0.873077,0.851017,0.869652,0.028557,0.032173,0.015737
breeds,entity13,corr_source_brightness_sev1,8.284868,0.171538,0.864923,0.843896,0.863211,0.027164,0.030413,0.014851
breeds,entity13,corr_source_brightness_sev1,8.451529,0.181692,0.859077,0.836969,0.857699,0.025530,0.027955,0.012401
breeds,entity13,corr_source_brightness_sev1,8.644689,0.191846,0.851692,0.830896,0.851633,0.023326,0.025776,0.010830
breeds,entity13,corr_source_brightness_sev1,8.792501,0.201846,0.842615,0.823674,0.845191,0.021878,0.023871,0.010409
breeds,entity13,corr_source_brightness_sev1,8.914696,0.212000,0.833385,0.815747,0.838574,0.020747,0.021934,0.009932
breeds,entity13,corr_source_brightness_sev1,9.073959,0.222154,0.824154,0.809081,0.831931,0.018775,0.019964,0.009481
breeds,entity13,corr_source_brightness_sev1,9.215860,0.232154,0.815385,0.801945,0.824787,0.017155,0.018364,0.008814
breeds,entity13,corr_source_brightness_sev1,9.380881,0.242308,0.806462,0.794221,0.816594,0.015781,0.017316,0.008104
breeds,entity13,corr_source_brightness_sev1,9.508539,0.252462,0.796923,0.786169,0.809900,0.014590,0.015237,0.007798
breeds,entity13,corr_source_brightness_sev1,9.672863,0.262462,0.787538,0.778465,0.801795,0.013231,0.014159,0.007477
breeds,entity13,corr_source_brightness_sev1,9.832455,0.272615,0.778308,0.769918,0.792989,0.012311,0.013430,0.006971
breeds,entity13,corr_source_brightness_sev1,9.935966,0.282769,0.768154,0.760753,0.784046,0.011797,0.012776,0.006971
breeds,entity13,corr_source_brightness_sev1,10.035473,0.292769,0.759385,0.751809,0.774994,0.011216,0.012286,0.006285
breeds,entity13,corr_source_brightness_sev1,10.134352,0.302923,0.749846,0.742993,0.765281,0.010420,0.012149,0.005931
breeds,entity13,corr_source_brightness_sev1,10.241879,0.313077,0.739692,0.734068,0.756903,0.009680,0.011036,0.005931
