dataset,breeds_name,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,corr_source_fog_sev1,0.848936,0.000000,0.877692,0.874185,0.847518,0.125815,0.152482,0.122308
breeds,entity13,corr_source_fog_sev1,3.339929,0.010000,0.880000,0.871292,0.850953,0.123496,0.147237,0.117309
breeds,entity13,corr_source_fog_sev1,3.743299,0.020154,0.884308,0.865220,0.856034,0.122693,0.140989,0.111163
breeds,entity13,corr_source_fog_sev1,4.023214,0.030154,0.888462,0.859545,0.858158,0.121729,0.136192,0.105013
breeds,entity13,corr_source_fog_sev1,4.283847,0.040308,0.889385,0.854126,0.859807,0.120549,0.131483,0.100337
breeds,entity13,corr_source_fog_sev1,4.533492,0.050462,0.888769,0.849762,0.862601,0.118790,0.126072,0.096403
breeds,entity13,corr_source_fog_sev1,4.718712,0.060462,0.889231,0.844679,0.862014,0.117437,0.122404,0.091847
breeds,entity13,corr_source_fog_sev1,4.944366,0.070615,0.890462,0.842183,0.861994,0.114601,0.118290,0.086741
breeds,entity13,corr_source_fog_sev1,5.109216,0.080769,0.889231,0.838358,0.863482,0.112424,0.113264,0.082804
breeds,entity13,corr_source_fog_sev1,5.266387,0.090769,0.888154,0.834131,0.862013,0.110486,0.109818,0.078836
breeds,entity13,corr_source_fog_sev1,5.440482,0.100923,0.886308,0.830126,0.861474,0.108314,0.105711,0.075094
breeds,entity13,corr_source_fog_sev1,5.618267,0.111077,0.882615,0.826744,0.860774,0.105742,0.101601,0.072343
breeds,entity13,corr_source_fog_sev1,5.785536,0.121077,0.880308,0.824427,0.858425,0.102575,0.098405,0.068742
breeds,entity13,corr_source_fog_sev1,5.937179,0.131231,0.878154,0.820642,0.855419,0.100108,0.095441,0.064979
breeds,entity13,corr_source_fog_sev1,6.068027,0.141385,0.874769,0.816467,0.853581,0.097810,0.091727,0.061795
breeds,entity13,corr_source_fog_sev1,6.209127,0.151385,0.871538,0.813138,0.848541,0.095033,0.089885,0.058504
breeds,entity13,corr_source_fog_sev1,6.330559,0.161538,0.868154,0.809158,0.844761,0.092501,0.087173,0.055229
breeds,entity13,corr_source_fog_sev1,6.497709,0.171538,0.862462,0.807172,0.841143,0.088782,0.084374,0.053276
breeds,entity13,corr_source_fog_sev1,6.632782,0.181692,0.857538,0.802806,0.837372,0.086347,0.081521,0.050761
breeds,entity13,corr_source_fog_sev1,6.772359,0.191846,0.854462,0.798974,0.834595,0.083520,0.077981,0.047003
breeds,entity13,corr_source_fog_sev1,6.882460,0.201846,0.850308,0.794110,0.830185,0.081349,0.075456,0.043914
breeds,entity13,corr_source_fog_sev1,7.013798,0.212000,0.843231,0.791453,0.826404,0.077641,0.072385,0.042553
breeds,entity13,corr_source_fog_sev1,7.151361,0.222154,0.838000,0.787206,0.820337,0.074857,0.070703,0.039945
breeds,entity13,corr_source_fog_sev1,7.276340,0.232154,0.832000,0.782576,0.815824,0.072335,0.068051,0.037861
breeds,entity13,corr_source_fog_sev1,7.395218,0.242308,0.825846,0.778484,0.810526,0.069304,0.065758,0.035678
breeds,entity13,corr_source_fog_sev1,7.536674,0.252462,0.820000,0.774469,0.806925,0.066140,0.062268,0.033320
breeds,entity13,corr_source_fog_sev1,7.679692,0.262462,0.812154,0.770717,0.802715,0.062801,0.059187,0.032225
breeds,entity13,corr_source_fog_sev1,7.816405,0.272615,0.804462,0.765515,0.799353,0.060273,0.055345,0.031085
breeds,entity13,corr_source_fog_sev1,7.940797,0.282769,0.797077,0.760726,0.793226,0.057387,0.053321,0.029519
breeds,entity13,corr_source_fog_sev1,8.052376,0.292769,0.789538,0.755981,0.787293,0.054483,0.051200,0.028169
breeds,entity13,corr_source_fog_sev1,8.180037,0.302923,0.781846,0.750883,0.781897,0.051650,0.048532,0.026843
breeds,entity13,corr_source_fog_sev1,8.298713,0.313077,0.774154,0.745564,0.776709,0.048894,0.045635,0.025498
breeds,entity13,corr_source_fog_sev1,8.418208,0.323077,0.766000,0.740401,0.770096,0.046044,0.043808,0.024545
breeds,entity13,corr_source_fog_sev1,8.553691,0.333231,0.758923,0.733935,0.763167,0.043980,0.042057,0.022565
breeds,entity13,corr_source_fog_sev1,8.667539,0.343231,0.750769,0.728046,0.757921,0.041520,0.039078,0.021526
breeds,entity13,corr_source_fog_sev1,8.768811,0.353385,0.743077,0.720941,0.751578,0.039814,0.036745,0.019934
breeds,entity13,corr_source_fog_sev1,8.894463,0.363538,0.734769,0.715402,0.746354,0.036824,0.033458,0.018813
breeds,entity13,corr_source_fog_sev1,9.031732,0.373538,0.725692,0.709999,0.739274,0.033743,0.031662,0.018364
breeds,entity13,corr_source_fog_sev1,9.169796,0.383692,0.716462,0.704589,0.732369,0.030450,0.029548,0.017915
breeds,entity13,corr_source_fog_sev1,9.264159,0.393846,0.707846,0.696654,0.725769,0.029130,0.027112,0.016984
breeds,entity13,corr_source_fog_sev1,9.379472,0.403846,0.698769,0.690202,0.717409,0.026643,0.026190,0.016516
breeds,entity13,corr_source_fog_sev1,9.487330,0.414000,0.689538,0.681998,0.708867,0.025441,0.025269,0.016015
breeds,entity13,corr_source_fog_sev1,9.600562,0.424154,0.682462,0.673643,0.700907,0.024328,0.023810,0.013615
breeds,entity13,corr_source_fog_sev1,9.698519,0.434154,0.673385,0.665671,0.693194,0.022965,0.022210,0.013043
breeds,entity13,corr_source_fog_sev1,9.820739,0.444308,0.664154,0.656973,0.685269,0.022075,0.020610,0.012359
breeds,entity13,corr_source_fog_sev1,9.915948,0.454462,0.654923,0.648943,0.675969,0.020540,0.020211,0.011765
breeds,entity13,corr_source_fog_sev1,10.009426,0.464462,0.646769,0.639450,0.666374,0.020449,0.020211,0.010324
breeds,entity13,corr_source_fog_sev1,10.131076,0.474615,0.637231,0.630835,0.658501,0.019380,0.018430,0.009852
breeds,entity13,corr_source_fog_sev1,10.241800,0.484769,0.628000,0.622464,0.649607,0.018032,0.017570,0.009254
breeds,entity13,corr_source_fog_sev1,10.327200,0.494769,0.618923,0.613425,0.640623,0.017438,0.016913,0.008500
breeds,entity13,corr_source_fog_sev1,10.422505,0.504923,0.610000,0.604504,0.631649,0.016551,0.016068,0.007444
breeds,entity13,corr_source_fog_sev1,10.548696,0.514923,0.600615,0.596586,0.623517,0.014746,0.014474,0.006918
breeds,entity13,corr_source_fog_sev1,10.647959,0.525077,0.591385,0.588041,0.614032,0.013367,0.014080,0.006139
breeds,entity13,corr_source_fog_sev1,10.746924,0.535231,0.582462,0.579503,0.604854,0.011920,0.013338,0.004947
breeds,entity13,corr_source_fog_sev1,10.843865,0.545231,0.572462,0.570339,0.596126,0.011264,0.012232,0.004947
breeds,entity13,corr_source_fog_sev1,10.961687,0.555385,0.562615,0.560876,0.586332,0.010744,0.012107,0.004744
breeds,entity13,corr_source_fog_sev1,11.076275,0.565538,0.552769,0.551589,0.577056,0.009997,0.011380,0.004511
breeds,entity13,corr_source_fog_sev1,11.167183,0.575538,0.542769,0.542083,0.567388,0.009651,0.011256,0.004511
breeds,entity13,corr_source_fog_sev1,11.259282,0.585692,0.532923,0.532215,0.558087,0.009543,0.010503,0.004444
breeds,entity13,corr_source_fog_sev1,11.357645,0.595846,0.522769,0.522463,0.549192,0.009285,0.009210,0.004444
breeds,entity13,corr_source_fog_sev1,11.452195,0.605846,0.512769,0.513652,0.539872,0.008013,0.008580,0.004444
breeds,entity13,corr_source_fog_sev1,11.560906,0.616000,0.502615,0.503888,0.530346,0.007717,0.007990,0.004444
breeds,entity13,corr_source_fog_sev1,11.652138,0.626154,0.492462,0.494109,0.521061,0.007425,0.007045,0.004444
breeds,entity13,corr_source_fog_sev1,11.737103,0.636154,0.482769,0.484570,0.511483,0.006995,0.006658,0.004444
breeds,entity13,corr_source_fog_sev1,11.843964,0.646308,0.472615,0.475336,0.502495,0.005896,0.005202,0.004444
breeds,entity13,corr_source_fog_sev1,11.962341,0.656462,0.462462,0.465442,0.492699,0.005693,0.004835,0.004444
