dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,living17,val_source,0.000000,0.990400,0.999548,0.999300,0.000452,0.000700,0.009600
breeds,living17,val_source,0.010100,0.987500,0.990208,0.990600,0.000073,0.000000,0.006061
breeds,living17,val_source,0.020200,0.980200,0.980200,0.980500,0.000027,0.000000,0.004691
breeds,living17,val_source,0.030300,0.970900,0.970146,0.970400,0.000003,0.000000,0.004309
breeds,living17,val_source,0.040400,0.961400,0.960052,0.960300,0.000000,0.000000,0.004041
breeds,living17,val_source,0.050500,0.951900,0.949952,0.950200,0.000000,0.000000,0.003787
breeds,living17,val_source,0.060600,0.943000,0.939852,0.940100,0.000000,0.000000,0.003190
breeds,living17,val_source,0.070700,0.933300,0.929752,0.930000,0.000000,0.000000,0.002990
breeds,living17,val_source,0.080800,0.923800,0.919652,0.919900,0.000000,0.000000,0.002706
breeds,living17,val_source,0.090900,0.914500,0.909552,0.909800,0.000000,0.000000,0.002302
breeds,living17,val_source,0.101000,0.904600,0.899452,0.899700,0.000000,0.000000,0.002216
breeds,living17,val_source,0.111100,0.894700,0.889352,0.889600,0.000000,0.000000,0.002120
breeds,living17,val_source,0.121200,0.884600,0.879252,0.879500,0.000000,0.000000,0.002120
breeds,living17,val_source,0.131300,0.874700,0.869152,0.869400,0.000000,0.000000,0.002048
breeds,living17,val_source,0.141400,0.865000,0.859052,0.859300,0.000000,0.000000,0.001863
breeds,living17,val_source,0.151500,0.854900,0.848952,0.849200,0.000000,0.000000,0.001863
breeds,living17,val_source,0.161600,0.845200,0.838852,0.839100,0.000000,0.000000,0.001666
breeds,living17,val_source,0.171700,0.835500,0.828752,0.829000,0.000000,0.000000,0.001446
breeds,living17,val_source,0.181800,0.825400,0.818652,0.818900,0.000000,0.000000,0.001446
breeds,living17,val_source,0.191900,0.815300,0.808552,0.808800,0.000000,0.000000,0.001446
breeds,living17,val_source,0.202000,0.805200,0.798452,0.798700,0.000000,0.000000,0.001446
breeds,living17,val_source,0.212100,0.795100,0.788352,0.788600,0.000000,0.000000,0.001446
breeds,living17,val_source,0.222200,0.785000,0.778252,0.778500,0.000000,0.000000,0.001446
breeds,living17,val_source,0.232300,0.775100,0.768152,0.768400,0.000000,0.000000,0.001431
breeds,living17,val_source,0.242400,0.765200,0.758052,0.758300,0.000000,0.000000,0.001320
breeds,living17,val_source,0.252500,0.755100,0.747952,0.748200,0.000000,0.000000,0.001320
breeds,living17,val_source,0.262600,0.745000,0.737852,0.738100,0.000000,0.000000,0.001320
breeds,living17,val_source,0.272700,0.735100,0.727752,0.728000,0.000000,0.000000,0.001227
breeds,living17,val_source,0.282800,0.725400,0.717652,0.717900,0.000000,0.000000,0.000970
breeds,living17,val_source,0.292900,0.715300,0.707552,0.707800,0.000000,0.000000,0.000970
breeds,living17,val_source,0.303000,0.705200,0.697452,0.697700,0.000000,0.000000,0.000970
breeds,living17,val_source,0.313100,0.695100,0.687352,0.687600,0.000000,0.000000,0.000970
breeds,living17,val_source,0.323200,0.685200,0.677252,0.677500,0.000000,0.000000,0.000877
breeds,living17,val_source,0.333300,0.675100,0.667152,0.667400,0.000000,0.000000,0.000877
breeds,living17,val_source,0.343400,0.665000,0.657052,0.657300,0.000000,0.000000,0.000877
breeds,living17,val_source,0.353500,0.654900,0.646952,0.647200,0.000000,0.000000,0.000877
breeds,living17,val_source,0.363600,0.644800,0.636852,0.637100,0.000000,0.000000,0.000877
breeds,living17,val_source,0.373700,0.634900,0.626752,0.627000,0.000000,0.000000,0.000793
breeds,living17,val_source,0.383800,0.624800,0.616652,0.616900,0.000000,0.000000,0.000793
breeds,living17,val_source,0.393900,0.614700,0.606552,0.606800,0.000000,0.000000,0.000793
breeds,living17,val_source,0.404000,0.604800,0.596452,0.596700,0.000000,0.000000,0.000670
breeds,living17,val_source,0.414100,0.594700,0.586352,0.586600,0.000000,0.000000,0.000670
breeds,living17,val_source,0.424200,0.584600,0.576252,0.576500,0.000000,0.000000,0.000670
