testset,testset_idx,n_samples,is_source,is_target,is_clean,true_acc,acc_st_true,acc_ta_true,acc_st_tdc,acc_ta_tdc,err_st_tdc,err_ta_tdc,acc_st_mm,acc_ta_mm,err_st_mm,err_ta_mm,mano_fro_norm,est_ATC,err_ATC,err_ta_ATC,est_ATC-NE,err_ATC-NE,err_ta_ATC-NE,est_AC,err_AC,err_ta_AC,est_DOC,err_DOC,err_ta_DOC,est_COT,err_COT,err_ta_COT
val_source,0,10000,True,False,True,0.9904,0.9904,0.9905,0.9992995096567598,0.9992995096567598,0.008899509656759896,0.008799509656759796,0.9995483174564568,0.9995483174564568,0.009148317456456834,0.009048317456456734,0.9931502441350186,0.9791999459266663,0.011200054073333687,0.011300054073333787,0.9784999489784241,0.011900051021575875,0.012000051021575975,0.9950456619262695,0.004645661926269584,0.004545661926269484,0.9950388669967651,0.00463886699676519,0.00453886699676509,0.9819156702619167,0.008484329738083218,0.008584329738083318
val_target,1,44017,False,True,True,0.8251811799986369,0.8251811799986369,0.82865710975305,0.9948850272874661,0.9949091285841452,0.16970384728882915,0.1662520188310952,0.9847530985234612,0.9847530985234612,0.15957191852482422,0.1560959887704112,0.9422570033815825,0.8269305229187012,0.001749342920064234,0.0017265868343487867,0.8182747960090637,0.006906383989573217,0.010382313743986238,0.9548120498657227,0.12963086986708572,0.1261549401126727,0.9548052549362183,0.12962407493758132,0.1261481451831683,0.9070206928909939,0.08183951289235691,0.07836358313794389
imagenet_val_source,2,1700,True,False,True,0.9847058823529412,0.9847058823529412,0.9858823529411764,0.9982321744254568,0.9988238760442304,0.013526292072515544,0.012941523103053965,0.9987088390649209,0.9987764899197358,0.014002956711979708,0.012894136978559345,0.9891610305884211,0.9711764454841614,0.013529436868779832,0.014705907457015055,0.9688234925270081,0.015882389825933152,0.017058860414168375,0.9921097755432129,0.007403893190271682,0.006227422602036459,0.9921029806137085,0.0073970982607672875,0.006220627672532064,0.9885622718431005,0.0038563894901593176,0.0026799189019240943
imagenet_val_target,3,1700,False,True,True,0.8141176470588235,0.8141176470588235,0.8305882352941176,0.992294013040901,0.9928996826946547,0.17817636598207753,0.16231144740053705,0.9816363435673905,0.9817540390893877,0.167518696508567,0.15116580379527012,0.9350515692874252,0.8041176199913025,0.010000027067521011,0.026470615302815137,0.794705867767334,0.019411779291489517,0.03588236752678364,0.9481661915779114,0.13404854451908788,0.11757795628379375,0.948159396648407,0.13404174958958348,0.11757116135428936,0.9031261731531345,0.08900852609431098,0.07253793785901685
corr_source_fog_sev1,4,1700,True,False,False,0.9252941176470588,0.9252941176470588,0.9341176470588235,0.9928909952606635,0.9928909952606635,0.06759687761360467,0.05877334820183999,0.985011360929389,0.985011360929389,0.05971724328233019,0.050893713870565516,0.9579210235664014,0.8776470422744751,0.047647075372583725,0.0564706047843484,0.8705881834030151,0.054705934244043686,0.06352946365580836,0.9666751027107239,0.041380985063665054,0.03255745565190038,0.9666683077812195,0.04137419013416066,0.032550660722395985,0.9506220697619432,0.025327952114884367,0.016504422703119692
corr_source_fog_sev2,5,1700,True,False,False,0.8994117647058824,0.8994117647058824,0.9170588235294118,0.9886972040452112,0.9905353955978584,0.08928543933932886,0.0734765720684466,0.9773799199767332,0.9795057509535596,0.07796815527085088,0.06244692742414781,0.9471012321891321,0.8505882024765015,0.04882356222938089,0.06647062105291035,0.8441176414489746,0.055294123256907746,0.0729411820804372,0.959530234336853,0.06011846963097067,0.04247141080744121,0.9595234394073486,0.06011167470146628,0.04246461587793682,0.9378495910766387,0.03843782637075632,0.020790767547226863
corr_source_fog_sev3,6,1700,True,False,False,0.86,0.86,0.8782352941176471,0.9892984542211652,0.9892984542211652,0.12929845422116526,0.11106316010351813,0.9576649972418985,0.961589293693734,0.09766499724189848,0.08335399957608691,0.916174769729952,0.7599999904632568,0.10000000953674315,0.11823530365439028,0.7499999403953552,0.11000005960464476,0.1282353537222919,0.9342940449714661,0.07429404497146608,0.05605875085381895,0.9342872500419617,0.07428725004196168,0.056051955924314556,0.9046395483934949,0.04463954839349493,0.026404254275847805
corr_source_fog_sev4,7,1700,True,False,False,0.8158823529411765,0.8158823529411765,0.8476470588235294,0.984468339307049,0.9863978301272319,0.16858598636587252,0.1387507713037025,0.9454238884984699,0.9474497530006241,0.12954153555729342,0.09980269417709464,0.8972449595218079,0.7270587682723999,0.0888235846687766,0.12058829055112952,0.7147058248519897,0.10117652808918676,0.13294123397153967,0.9170853495597839,0.10120299661860743,0.06943829073625452,0.9170785546302795,0.10119620168910304,0.06943149580675012,0.8679039859784402,0.052021633037263704,0.020256927154910787
corr_source_fog_sev5,8,1700,True,False,False,0.6794117647058824,0.6794117647058824,0.7952941176470588,0.978978978978979,0.978978978978979,0.2995672142730966,0.1836848613319202,0.8867625139686225,0.9018139792458651,0.2073507492627401,0.10651986159880633,0.8370546635825562,0.5817646980285645,0.09764706667731793,0.21352941961849436,0.5605882406234741,0.11882352408240826,0.2347058770235847,0.8712081909179688,0.19179642621208637,0.07591407327090993,0.8712013959884644,0.19178963128258197,0.07590727834140554,0.7581469990866392,0.0787352343807568,0.037147118560419634
corr_source_frost_sev1,9,1700,True,False,False,0.9335294117647058,0.9335294117647058,0.9388235294117647,0.9958653278204371,0.9958653278204371,0.0623359160557313,0.057041798408672406,0.9848374428748653,0.9848374428748653,0.05130803111015947,0.046013913463100575,0.9603955460823991,0.8917646408081055,0.04176477095660036,0.047058888603659255,0.8852940797805786,0.04823533198412722,0.05352944963118611,0.9686664938926697,0.03513708212796385,0.029842964480904954,0.9686596989631653,0.03513028719845945,0.02983616955140056,0.9558166678372426,0.022287256072536787,0.016993138425477894
corr_source_frost_sev2,10,1700,True,False,False,0.851764705882353,0.851764705882353,0.8717647058823529,0.9820359281437125,0.9821169848200341,0.13027122226135956,0.11035227893768118,0.9392370778633479,0.9414265751459818,0.08747237198099489,0.06966186926362894,0.9104575588406534,0.7588235139846802,0.0929411918976728,0.11294119189767271,0.74647057056427,0.10529413531808296,0.12529413531808287,0.9275965690612793,0.07583186317892632,0.05583186317892641,0.9275897741317749,0.07582506824942192,0.055825068249422016,0.8971661726582891,0.04540146677593615,0.025401466775936243
corr_source_frost_sev3,11,1700,True,False,False,0.7623529411764706,0.7623529411764706,0.7994117647058824,0.9734299516908212,0.974899289261458,0.21107701051435068,0.1754875245555756,0.8810928031812431,0.8967317043029326,0.11873986200477249,0.09731993959705021,0.8545491554588238,0.6370587944984436,0.12529414667802696,0.16235297020743877,0.6182352900505066,0.14411765112596397,0.18117647465537579,0.8832557797431946,0.12090283856672401,0.0838440150373122,0.8832489848136902,0.12089604363721962,0.08383722010780781,0.8193964571662514,0.05704351598978086,0.019984692460369047
corr_source_frost_sev4,12,1700,True,False,False,0.7323529411764705,0.7323529411764705,0.7876470588235294,0.9684466019417476,0.9684466019417476,0.23609366076527705,0.18079954311821822,0.867189048662301,0.8935670533875589,0.13483610748583041,0.10591999456402956,0.8467206793694156,0.6176470518112183,0.11470588936525228,0.1700000070123111,0.6011764407157898,0.13117650046068074,0.18647061810773957,0.8733515739440918,0.14099863276762126,0.08570451512056243,0.8733447790145874,0.14099183783811686,0.08569772019105804,0.8036696991876695,0.07131675801119897,0.01602264036414014
