metric,method,type,mean_est,std_est,mean_true,std_true,mean_mae,std_mae
Est ACC (ST),ENGPE,ST,0.971936,0.024504,0.665056,0.199652,0.306879,0.180052
Est ACC (TA),ENGPE,TA,0.972409,0.024249,0.789544,0.089232,0.182865,0.079739
Est ACC (ST),ENGPE-TA,ST,0.887032,0.095649,0.665056,0.199652,0.221976,0.126884
Est ACC (TA),ENGPE-TA,TA,0.908056,0.063416,0.789544,0.089232,0.121387,0.059268
Est ACC (ST),ATC,ST,0.626675,0.195446,0.665056,0.199652,0.047186,0.037669
Est ACC (TA),ATC,TA,0.626675,0.195446,0.789544,0.089232,0.162869,0.142636
Est ACC (ST),ATC-NE,ST,0.611154,0.201747,0.665056,0.199652,0.056977,0.043874
Est ACC (TA),ATC-NE,TA,0.611154,0.201747,0.789544,0.089232,0.178390,0.147924
Est ACC (ST),AC,ST,0.878668,0.076172,0.665056,0.199652,0.213612,0.131015
Est ACC (TA),AC,TA,0.878668,0.076172,0.789544,0.089232,0.096964,0.057958
Est ACC (ST),DOC,ST,0.878661,0.076172,0.665056,0.199652,0.213605,0.131015
Est ACC (TA),DOC,TA,0.878661,0.076172,0.789544,0.089232,0.096958,0.057957
Est ACC (ST),COT,ST,0.773283,0.138696,0.665056,0.199652,0.108314,0.071883
Est ACC (TA),COT,TA,0.773283,0.138696,0.789544,0.089232,0.064739,0.076466
Est ACC (MANO Frobenius),MANO,ST,0.848964,0.094729,0.665056,0.199652,0.183908,0.114983
