dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,nonliving26,val_source,0.000000,0.964000,0.990654,0.995782,0.009346,0.004218,0.036000
breeds,nonliving26,val_source,0.010100,0.963700,0.985439,0.989107,0.006974,0.002531,0.031417
breeds,nonliving26,val_source,0.020200,0.961200,0.978388,0.980615,0.005490,0.001736,0.027863
breeds,nonliving26,val_source,0.030300,0.958300,0.969770,0.970724,0.004783,0.001647,0.024441
breeds,nonliving26,val_source,0.040400,0.955000,0.960804,0.961617,0.004242,0.001147,0.021155
breeds,nonliving26,val_source,0.050500,0.949100,0.951728,0.952518,0.003748,0.000632,0.019168
breeds,nonliving26,val_source,0.060600,0.942200,0.942430,0.942818,0.003362,0.000426,0.017665
breeds,nonliving26,val_source,0.070700,0.934700,0.932985,0.932918,0.003046,0.000323,0.016450
breeds,nonliving26,val_source,0.080800,0.926400,0.923450,0.922825,0.002772,0.000323,0.015645
breeds,nonliving26,val_source,0.090900,0.918300,0.913698,0.912918,0.002611,0.000220,0.014740
breeds,nonliving26,val_source,0.101000,0.910800,0.903869,0.902822,0.002490,0.000220,0.013456
breeds,nonliving26,val_source,0.111100,0.902100,0.894106,0.892918,0.002329,0.000112,0.012823
breeds,nonliving26,val_source,0.121200,0.893200,0.884315,0.882820,0.002180,0.000112,0.012253
breeds,nonliving26,val_source,0.131300,0.884900,0.874399,0.872722,0.002099,0.000112,0.011391
breeds,nonliving26,val_source,0.141400,0.875800,0.864508,0.862625,0.002002,0.000112,0.010939
breeds,nonliving26,val_source,0.151500,0.866500,0.854586,0.852527,0.001921,0.000112,0.010575
breeds,nonliving26,val_source,0.161600,0.857800,0.844643,0.842429,0.001850,0.000112,0.009894
breeds,nonliving26,val_source,0.171700,0.848900,0.834612,0.832331,0.001831,0.000112,0.009278
breeds,nonliving26,val_source,0.181800,0.839800,0.824620,0.822234,0.001788,0.000112,0.008770
breeds,nonliving26,val_source,0.191900,0.830700,0.814714,0.812136,0.001690,0.000112,0.008257
breeds,nonliving26,val_source,0.202000,0.821200,0.804763,0.802038,0.001618,0.000112,0.007980
breeds,nonliving26,val_source,0.212100,0.811700,0.794798,0.791941,0.001553,0.000112,0.007711
breeds,nonliving26,val_source,0.222200,0.802000,0.784820,0.781843,0.001495,0.000112,0.007531
breeds,nonliving26,val_source,0.232300,0.792500,0.774855,0.771918,0.001427,0.000000,0.007248
breeds,nonliving26,val_source,0.242400,0.782400,0.764862,0.761818,0.001375,0.000000,0.007248
breeds,nonliving26,val_source,0.252500,0.772500,0.754818,0.751718,0.001357,0.000000,0.007248
breeds,nonliving26,val_source,0.262600,0.762600,0.744745,0.741618,0.001357,0.000000,0.007248
breeds,nonliving26,val_source,0.272700,0.752900,0.734922,0.731518,0.001185,0.000000,0.007095
breeds,nonliving26,val_source,0.282800,0.743000,0.724936,0.721418,0.001122,0.000000,0.007087
breeds,nonliving26,val_source,0.292900,0.733500,0.714859,0.711318,0.001122,0.000000,0.006766
breeds,nonliving26,val_source,0.303000,0.723400,0.704856,0.701218,0.001069,0.000000,0.006766
breeds,nonliving26,val_source,0.313100,0.713900,0.694885,0.691118,0.000991,0.000000,0.006520
breeds,nonliving26,val_source,0.323200,0.704600,0.684805,0.681018,0.000991,0.000000,0.006040
breeds,nonliving26,val_source,0.333300,0.694700,0.674748,0.670918,0.000973,0.000000,0.005952
breeds,nonliving26,val_source,0.343400,0.684800,0.664725,0.660818,0.000930,0.000000,0.005923
breeds,nonliving26,val_source,0.353500,0.674900,0.654644,0.650718,0.000930,0.000000,0.005801
breeds,nonliving26,val_source,0.363600,0.664800,0.644562,0.640618,0.000930,0.000000,0.005801
breeds,nonliving26,val_source,0.373700,0.654700,0.634498,0.630518,0.000916,0.000000,0.005801
breeds,nonliving26,val_source,0.383800,0.644800,0.624416,0.620418,0.000916,0.000000,0.005801
breeds,nonliving26,val_source,0.393900,0.634900,0.614335,0.610318,0.000916,0.000000,0.005801
breeds,nonliving26,val_source,0.404000,0.625200,0.604253,0.600218,0.000916,0.000000,0.005698
breeds,nonliving26,val_source,0.414100,0.615100,0.594172,0.590118,0.000916,0.000000,0.005698
breeds,nonliving26,val_source,0.424200,0.605200,0.584090,0.580018,0.000916,0.000000,0.005698
breeds,nonliving26,val_source,0.434300,0.595300,0.574065,0.569918,0.000867,0.000000,0.005582
breeds,nonliving26,val_source,0.444400,0.585400,0.564038,0.559818,0.000817,0.000000,0.005540
breeds,nonliving26,val_source,0.454500,0.575300,0.554039,0.549718,0.000739,0.000000,0.005540
breeds,nonliving26,val_source,0.464600,0.565200,0.543954,0.539618,0.000739,0.000000,0.005540
breeds,nonliving26,val_source,0.474700,0.555100,0.533931,0.529518,0.000680,0.000000,0.005540
breeds,nonliving26,val_source,0.484800,0.545000,0.523845,0.519418,0.000680,0.000000,0.005540
breeds,nonliving26,val_source,0.494900,0.535100,0.513758,0.509318,0.000680,0.000000,0.005540
breeds,nonliving26,val_source,0.505000,0.525200,0.503672,0.499218,0.000680,0.000000,0.005540
breeds,nonliving26,val_source,0.515100,0.515100,0.493586,0.489118,0.000680,0.000000,0.005540
breeds,nonliving26,val_source,0.525200,0.505400,0.483528,0.479018,0.000650,0.000000,0.005540
breeds,nonliving26,val_source,0.535300,0.495300,0.473537,0.468918,0.000547,0.000000,0.005540
breeds,nonliving26,val_source,0.545400,0.485200,0.463540,0.458818,0.000446,0.000000,0.005540
breeds,nonliving26,val_source,0.555500,0.475300,0.453449,0.448718,0.000446,0.000000,0.005540
breeds,nonliving26,val_source,0.565600,0.465600,0.443358,0.438618,0.000446,0.000000,0.005497
breeds,nonliving26,val_source,0.575700,0.455900,0.433267,0.428518,0.000446,0.000000,0.005181
breeds,nonliving26,val_source,0.585800,0.445800,0.423176,0.418418,0.000446,0.000000,0.005181
breeds,nonliving26,val_source,0.595900,0.435900,0.413085,0.408318,0.000446,0.000000,0.005162
breeds,nonliving26,val_source,0.606000,0.425800,0.402994,0.398218,0.000446,0.000000,0.005162
breeds,nonliving26,val_source,0.616100,0.415900,0.392903,0.388118,0.000446,0.000000,0.005077
breeds,nonliving26,val_source,0.626200,0.406200,0.382867,0.378018,0.000372,0.000000,0.004748
breeds,nonliving26,val_source,0.636300,0.396700,0.372775,0.367918,0.000372,0.000000,0.004114
breeds,nonliving26,val_source,0.646400,0.386800,0.362792,0.357818,0.000217,0.000000,0.003880
breeds,nonliving26,val_source,0.656500,0.376700,0.352697,0.347718,0.000217,0.000000,0.003880
breeds,nonliving26,val_source,0.666600,0.367000,0.342601,0.337618,0.000217,0.000000,0.003593
breeds,nonliving26,val_source,0.676700,0.357300,0.332506,0.327518,0.000217,0.000000,0.003078
breeds,nonliving26,val_source,0.686800,0.347200,0.322410,0.317418,0.000217,0.000000,0.003078
breeds,nonliving26,val_source,0.696900,0.337100,0.312314,0.307318,0.000217,0.000000,0.003078
breeds,nonliving26,val_source,0.707000,0.327400,0.302219,0.297218,0.000217,0.000000,0.002697
breeds,nonliving26,val_source,0.717100,0.317300,0.292123,0.287118,0.000217,0.000000,0.002697
breeds,nonliving26,val_source,0.727200,0.307200,0.282027,0.277018,0.000217,0.000000,0.002697
breeds,nonliving26,val_source,0.737300,0.297500,0.271932,0.266918,0.000217,0.000000,0.002254
breeds,nonliving26,val_source,0.747400,0.287400,0.261836,0.256818,0.000217,0.000000,0.002254
breeds,nonliving26,val_source,0.757500,0.277500,0.251741,0.246718,0.000217,0.000000,0.002024
breeds,nonliving26,val_source,0.767600,0.267400,0.241645,0.236618,0.000217,0.000000,0.002024
breeds,nonliving26,val_source,0.777700,0.257700,0.231549,0.226518,0.000217,0.000000,0.001336
breeds,nonliving26,val_source,0.787800,0.247600,0.221546,0.216418,0.000000,0.000000,0.001336
breeds,nonliving26,val_source,0.797900,0.237700,0.211446,0.206318,0.000000,0.000000,0.000981
breeds,nonliving26,val_source,0.808000,0.227600,0.201346,0.196218,0.000000,0.000000,0.000981
breeds,nonliving26,val_source,0.818100,0.217500,0.191246,0.186118,0.000000,0.000000,0.000981
breeds,nonliving26,val_source,0.828200,0.207400,0.181146,0.176018,0.000000,0.000000,0.000981
breeds,nonliving26,val_source,0.838300,0.197300,0.171046,0.165918,0.000000,0.000000,0.000981
breeds,nonliving26,val_source,0.848400,0.187200,0.160946,0.155818,0.000000,0.000000,0.000981
breeds,nonliving26,val_source,0.858500,0.177300,0.150846,0.145718,0.000000,0.000000,0.000695
breeds,nonliving26,val_source,0.868600,0.167200,0.140746,0.135618,0.000000,0.000000,0.000695
breeds,nonliving26,val_source,0.878700,0.157100,0.130646,0.125518,0.000000,0.000000,0.000695
breeds,nonliving26,val_source,0.888800,0.147000,0.120546,0.115418,0.000000,0.000000,0.000695
breeds,nonliving26,val_source,0.898900,0.136900,0.110446,0.105318,0.000000,0.000000,0.000695
breeds,nonliving26,val_source,0.909000,0.126800,0.100346,0.095218,0.000000,0.000000,0.000695
breeds,nonliving26,val_source,0.919100,0.116700,0.090246,0.085118,0.000000,0.000000,0.000695
breeds,nonliving26,val_source,0.929200,0.106800,0.080146,0.075018,0.000000,0.000000,0.000000
breeds,nonliving26,val_source,0.939300,0.096700,0.070046,0.064918,0.000000,0.000000,0.000000
breeds,nonliving26,val_source,0.949400,0.086600,0.059946,0.054818,0.000000,0.000000,0.000000
breeds,nonliving26,val_source,0.959500,0.076500,0.049846,0.044718,0.000000,0.000000,0.000000
breeds,nonliving26,val_source,0.969600,0.066400,0.039746,0.034618,0.000000,0.000000,0.000000
breeds,nonliving26,val_source,0.979700,0.056300,0.029646,0.024518,0.000000,0.000000,0.000000
breeds,nonliving26,val_source,0.989800,0.046200,0.019546,0.014418,0.000000,0.000000,0.000000
breeds,nonliving26,val_source,0.999900,0.036100,0.009446,0.004318,0.000000,0.000000,0.000000
breeds,nonliving26,val_target,0.000000,0.669819,0.871295,0.961932,0.128705,0.038068,0.330181
breeds,nonliving26,val_target,0.010090,0.675060,0.872940,0.958548,0.124089,0.035069,0.325788
breeds,nonliving26,val_target,0.020196,0.678901,0.874685,0.953798,0.119322,0.032697,0.322046
breeds,nonliving26,val_target,0.030301,0.682620,0.877000,0.948734,0.114161,0.030439,0.318274
breeds,nonliving26,val_target,0.040392,0.686928,0.878165,0.942624,0.109497,0.028685,0.314118
breeds,nonliving26,val_target,0.050497,0.690587,0.878802,0.935999,0.105005,0.027157,0.310208
breeds,nonliving26,val_target,0.060602,0.693283,0.878904,0.929441,0.100702,0.025561,0.306732
breeds,nonliving26,val_target,0.070693,0.696928,0.879006,0.922464,0.096311,0.024164,0.302672
breeds,nonliving26,val_target,0.080798,0.699834,0.878722,0.915624,0.092028,0.022653,0.298922
breeds,nonliving26,val_target,0.090904,0.702470,0.877602,0.908248,0.088109,0.021404,0.295237
breeds,nonliving26,val_target,0.100994,0.704940,0.876938,0.900825,0.083855,0.020161,0.291561
