dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity30,flows_6,val_source,3.806314,0.000000,0.969200,0.994521,0.996991,0.005479,0.003009,0.030800
breeds,entity30,flows_6,val_source,6.725999,0.010100,0.969700,0.987025,0.989505,0.004220,0.001719,0.025750
breeds,entity30,flows_6,val_source,7.797575,0.020200,0.968200,0.978778,0.980408,0.003317,0.001225,0.021637
breeds,entity30,flows_6,val_source,8.516130,0.030300,0.962900,0.970079,0.971510,0.002629,0.000618,0.019387
breeds,entity30,flows_6,val_source,9.118033,0.040400,0.958000,0.960894,0.961422,0.002180,0.000618,0.016880
breeds,entity30,flows_6,val_source,9.587058,0.050500,0.951500,0.951479,0.951335,0.001843,0.000618,0.015166
breeds,entity30,flows_6,val_source,10.013796,0.060600,0.944800,0.941868,0.941410,0.001602,0.000532,0.013518
breeds,entity30,flows_6,val_source,10.273667,0.070700,0.935700,0.932070,0.931321,0.001457,0.000532,0.013127
breeds,entity30,flows_6,val_source,10.555158,0.080800,0.926600,0.922380,0.921232,0.001250,0.000532,0.012699
breeds,entity30,flows_6,val_source,10.843086,0.090900,0.918500,0.912591,0.911310,0.001093,0.000439,0.011762
breeds,entity30,flows_6,val_source,11.129561,0.101000,0.909800,0.902746,0.901219,0.000963,0.000439,0.011115
breeds,entity30,flows_6,val_source,11.291728,0.111100,0.901500,0.892802,0.891510,0.000887,0.000224,0.010217
breeds,entity30,flows_6,val_source,11.501163,0.121200,0.892600,0.882907,0.881610,0.000780,0.000113,0.009672
breeds,entity30,flows_6,val_source,11.657480,0.131300,0.883500,0.872911,0.871512,0.000730,0.000113,0.009206
breeds,entity30,flows_6,val_source,11.823189,0.141400,0.874400,0.862866,0.861414,0.000706,0.000113,0.008723
breeds,entity30,flows_6,val_source,11.963902,0.151500,0.865300,0.852859,0.851317,0.000660,0.000113,0.008246
breeds,entity30,flows_6,val_source,12.111108,0.161600,0.856000,0.842847,0.841219,0.000615,0.000113,0.007845
breeds,entity30,flows_6,val_source,12.247869,0.171700,0.847100,0.832785,0.831121,0.000600,0.000113,0.007239
breeds,entity30,flows_6,val_source,12.364087,0.181800,0.837400,0.822719,0.821024,0.000587,0.000113,0.007070
breeds,entity30,flows_6,val_source,12.482041,0.191900,0.828100,0.812631,0.810926,0.000587,0.000113,0.006656
breeds,entity30,flows_6,val_source,12.587523,0.202000,0.818400,0.802542,0.800828,0.000587,0.000113,0.006513
breeds,entity30,flows_6,val_source,12.700681,0.212100,0.809300,0.792545,0.790730,0.000529,0.000113,0.005930
breeds,entity30,flows_6,val_source,12.794377,0.222200,0.799200,0.782456,0.780633,0.000529,0.000113,0.005930
breeds,entity30,flows_6,val_source,12.911542,0.232300,0.789900,0.772395,0.770535,0.000510,0.000113,0.005577
breeds,entity30,flows_6,val_source,13.013055,0.242400,0.780400,0.762342,0.760437,0.000486,0.000113,0.005264
breeds,entity30,flows_6,val_source,13.108139,0.252500,0.770300,0.752287,0.750340,0.000462,0.000113,0.005264
breeds,entity30,flows_6,val_source,13.200124,0.262600,0.760600,0.742197,0.740242,0.000462,0.000113,0.005152
breeds,entity30,flows_6,val_source,13.286651,0.272700,0.750700,0.732299,0.730309,0.000330,0.000000,0.005027
breeds,entity30,flows_6,val_source,13.390979,0.282800,0.740600,0.722309,0.720209,0.000257,0.000000,0.005027
breeds,entity30,flows_6,val_source,13.482860,0.292900,0.730700,0.712267,0.710109,0.000220,0.000000,0.005027
breeds,entity30,flows_6,val_source,13.565183,0.303000,0.720800,0.702172,0.700009,0.000220,0.000000,0.004991
breeds,entity30,flows_6,val_source,13.675820,0.313100,0.710700,0.692129,0.689909,0.000182,0.000000,0.004991
breeds,entity30,flows_6,val_source,13.768365,0.323200,0.700800,0.682033,0.679809,0.000182,0.000000,0.004962
breeds,entity30,flows_6,val_source,13.858596,0.333300,0.690700,0.671936,0.669709,0.000182,0.000000,0.004962
breeds,entity30,flows_6,val_source,13.940606,0.343400,0.680600,0.661840,0.659609,0.000182,0.000000,0.004962
breeds,entity30,flows_6,val_source,14.003906,0.353500,0.670700,0.651744,0.649509,0.000182,0.000000,0.004962
breeds,entity30,flows_6,val_source,14.079394,0.363600,0.660600,0.641647,0.639409,0.000182,0.000000,0.004962
breeds,entity30,flows_6,val_source,14.154701,0.373700,0.650700,0.631674,0.629309,0.000083,0.000000,0.004962
breeds,entity30,flows_6,val_source,14.234745,0.383800,0.640800,0.621576,0.619209,0.000083,0.000000,0.004962
breeds,entity30,flows_6,val_source,14.314937,0.393900,0.630900,0.611478,0.609109,0.000083,0.000000,0.004913
breeds,entity30,flows_6,val_source,14.390791,0.404000,0.621200,0.601379,0.599009,0.000083,0.000000,0.004675
breeds,entity30,flows_6,val_source,14.465767,0.414100,0.611100,0.591281,0.588909,0.000083,0.000000,0.004675
breeds,entity30,flows_6,val_source,14.545707,0.424200,0.601400,0.581183,0.578809,0.000083,0.000000,0.004511
breeds,entity30,flows_6,val_source,14.615200,0.434300,0.591500,0.571084,0.568709,0.000083,0.000000,0.004397
breeds,entity30,flows_6,val_source,14.698407,0.444400,0.581400,0.560986,0.558609,0.000083,0.000000,0.004397
breeds,entity30,flows_6,val_source,14.780227,0.454500,0.571700,0.550888,0.548509,0.000083,0.000000,0.004208
breeds,entity30,flows_6,val_source,14.860284,0.464600,0.561800,0.540789,0.538409,0.000083,0.000000,0.004049
breeds,entity30,flows_6,val_source,14.933947,0.474700,0.551700,0.530691,0.528309,0.000083,0.000000,0.004049
breeds,entity30,flows_6,val_source,15.025041,0.484800,0.541600,0.520593,0.518209,0.000083,0.000000,0.004049
breeds,entity30,flows_6,val_source,15.119963,0.494900,0.531500,0.510494,0.508109,0.000083,0.000000,0.004049
