config,method,type,mean_est,mean_true,mean_mae,std_mae
flows_6,ENGPE,ST,0.931081,0.594575,0.336506,0.157199
flows_6,ENGPE,TA,0.931867,0.768761,0.163175,0.056254
flows_6,ENGPE-TA,ST,0.801596,0.594575,0.207020,0.080736
flows_6,ENGPE-TA,TA,0.852368,0.768761,0.087627,0.037242
flows_6,ATC,ST,0.794079,0.594575,0.199504,0.097855
flows_6,ATC,TA,0.794079,0.768761,0.071418,0.052381
flows_6,ATC-NE,ST,0.787606,0.594575,0.193030,0.090734
flows_6,ATC-NE,TA,0.787606,0.768761,0.077563,0.060813
flows_6,AC,ST,0.891952,0.594575,0.297377,0.141956
flows_6,AC,TA,0.891952,0.768761,0.126319,0.050427
flows_6,DOC,ST,0.891928,0.594575,0.297352,0.141956
flows_6,DOC,TA,0.891928,0.768761,0.126296,0.050424
flows_6,COT,ST,0.785057,0.594575,0.190481,0.083108
flows_6,COT,TA,0.785057,0.768761,0.085217,0.069514
