dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,nonliving26,flows_6,val_source,3.241184,0.000000,0.964000,0.991315,0.996991,0.008685,0.003009,0.036000
breeds,nonliving26,flows_6,val_source,5.810684,0.010100,0.963700,0.986131,0.988501,0.006290,0.002226,0.031417
breeds,nonliving26,flows_6,val_source,6.864963,0.020200,0.961200,0.979037,0.979006,0.004821,0.001941,0.027863
breeds,nonliving26,flows_6,val_source,7.381795,0.030300,0.958300,0.970264,0.968945,0.004187,0.001941,0.024441
breeds,nonliving26,flows_6,val_source,7.776684,0.040400,0.955000,0.961083,0.959417,0.003753,0.001663,0.021155
breeds,nonliving26,flows_6,val_source,8.232370,0.050500,0.949100,0.951982,0.949920,0.003266,0.001363,0.019168
breeds,nonliving26,flows_6,val_source,8.649825,0.060600,0.942200,0.942724,0.939847,0.002853,0.001363,0.017665
breeds,nonliving26,flows_6,val_source,8.981164,0.070700,0.934700,0.933126,0.929921,0.002614,0.001285,0.016450
breeds,nonliving26,flows_6,val_source,9.334938,0.080800,0.926400,0.923497,0.920608,0.002386,0.000871,0.015645
breeds,nonliving26,flows_6,val_source,9.564146,0.090900,0.918300,0.913705,0.910719,0.002244,0.000765,0.014740
breeds,nonliving26,flows_6,val_source,9.762373,0.101000,0.910800,0.903858,0.900634,0.002128,0.000765,0.013456
breeds,nonliving26,flows_6,val_source,9.978994,0.111100,0.902100,0.894056,0.890549,0.001985,0.000765,0.012823
breeds,nonliving26,flows_6,val_source,10.207026,0.121200,0.893200,0.884172,0.880615,0.001884,0.000680,0.012253
breeds,nonliving26,flows_6,val_source,10.378146,0.131300,0.884900,0.874152,0.870712,0.001861,0.000574,0.011391
breeds,nonliving26,flows_6,val_source,10.565778,0.141400,0.875800,0.864156,0.860810,0.001822,0.000465,0.010939
breeds,nonliving26,flows_6,val_source,10.734618,0.151500,0.866500,0.854322,0.850720,0.001687,0.000465,0.010575
breeds,nonliving26,flows_6,val_source,10.896999,0.161600,0.857800,0.844502,0.840629,0.001540,0.000465,0.009894
breeds,nonliving26,flows_6,val_source,11.043142,0.171700,0.848900,0.834539,0.830539,0.001476,0.000465,0.009278
breeds,nonliving26,flows_6,val_source,11.169700,0.181800,0.839800,0.824583,0.820611,0.001406,0.000366,0.008770
breeds,nonliving26,flows_6,val_source,11.302322,0.191900,0.830700,0.814604,0.810518,0.001349,0.000366,0.008257
breeds,nonliving26,flows_6,val_source,11.412671,0.202000,0.821200,0.804701,0.800425,0.001243,0.000366,0.007980
breeds,nonliving26,flows_6,val_source,11.552350,0.212100,0.811700,0.794800,0.790333,0.001132,0.000366,0.007711
breeds,nonliving26,flows_6,val_source,11.654669,0.222200,0.802000,0.784745,0.780240,0.001119,0.000366,0.007531
breeds,nonliving26,flows_6,val_source,11.755994,0.232300,0.792500,0.774784,0.770313,0.001042,0.000258,0.007248
breeds,nonliving26,flows_6,val_source,11.879072,0.242400,0.782400,0.764865,0.760410,0.000937,0.000131,0.007248
breeds,nonliving26,flows_6,val_source,11.989620,0.252500,0.772500,0.754819,0.750312,0.000914,0.000131,0.007248
breeds,nonliving26,flows_6,val_source,12.090422,0.262600,0.762600,0.744773,0.740215,0.000889,0.000131,0.007248
breeds,nonliving26,flows_6,val_source,12.219287,0.272700,0.752900,0.734691,0.730118,0.000889,0.000131,0.007095
breeds,nonliving26,flows_6,val_source,12.309055,0.282800,0.743000,0.724631,0.720020,0.000874,0.000131,0.007087
breeds,nonliving26,flows_6,val_source,12.404109,0.292900,0.733500,0.714594,0.709923,0.000842,0.000131,0.006766
breeds,nonliving26,flows_6,val_source,12.486761,0.303000,0.723400,0.704511,0.699826,0.000842,0.000131,0.006766
breeds,nonliving26,flows_6,val_source,12.592525,0.313100,0.713900,0.694442,0.689728,0.000832,0.000131,0.006520
breeds,nonliving26,flows_6,val_source,12.685464,0.323200,0.704600,0.684411,0.679631,0.000793,0.000131,0.006040
breeds,nonliving26,flows_6,val_source,12.767935,0.333300,0.694700,0.674372,0.669534,0.000759,0.000131,0.005952
breeds,nonliving26,flows_6,val_source,12.862967,0.343400,0.684800,0.664288,0.659436,0.000759,0.000131,0.005923
breeds,nonliving26,flows_6,val_source,12.932614,0.353500,0.674900,0.654203,0.649339,0.000759,0.000131,0.005801
breeds,nonliving26,flows_6,val_source,13.016666,0.363600,0.664800,0.644118,0.639242,0.000759,0.000131,0.005801
breeds,nonliving26,flows_6,val_source,13.091452,0.373700,0.654700,0.634125,0.629144,0.000686,0.000131,0.005801
breeds,nonliving26,flows_6,val_source,13.175705,0.383800,0.644800,0.624039,0.619047,0.000686,0.000131,0.005801
breeds,nonliving26,flows_6,val_source,13.248469,0.393900,0.634900,0.613953,0.608950,0.000686,0.000131,0.005801
breeds,nonliving26,flows_6,val_source,13.320350,0.404000,0.625200,0.603905,0.598852,0.000654,0.000131,0.005698
breeds,nonliving26,flows_6,val_source,13.404269,0.414100,0.615100,0.593965,0.588755,0.000528,0.000131,0.005698
breeds,nonliving26,flows_6,val_source,13.493599,0.424200,0.605200,0.583949,0.578658,0.000465,0.000131,0.005698
breeds,nonliving26,flows_6,val_source,13.577226,0.434300,0.595300,0.573937,0.568560,0.000395,0.000131,0.005582
breeds,nonliving26,flows_6,val_source,13.649268,0.444400,0.585400,0.563845,0.558463,0.000395,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,13.706636,0.454500,0.575300,0.553753,0.548366,0.000395,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,13.771653,0.464600,0.565200,0.543661,0.538268,0.000395,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,13.834416,0.474700,0.555100,0.533569,0.528171,0.000395,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,13.904318,0.484800,0.545000,0.523477,0.518074,0.000395,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,13.976455,0.494900,0.535100,0.513433,0.507976,0.000348,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,14.066467,0.505000,0.525200,0.503340,0.497879,0.000348,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,14.149191,0.515100,0.515100,0.493247,0.487782,0.000348,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,14.231291,0.525200,0.505400,0.483238,0.477684,0.000259,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,14.308967,0.535300,0.495300,0.473143,0.467587,0.000259,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,14.394444,0.545400,0.485200,0.463049,0.457489,0.000259,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,14.465434,0.555500,0.475300,0.452954,0.447392,0.000259,0.000131,0.005540
breeds,nonliving26,flows_6,val_source,14.549635,0.565600,0.465600,0.442859,0.437295,0.000259,0.000131,0.005497
breeds,nonliving26,flows_6,val_source,14.632399,0.575700,0.455900,0.432764,0.427197,0.000259,0.000131,0.005181
breeds,nonliving26,flows_6,val_source,14.722035,0.585800,0.445800,0.422670,0.417100,0.000259,0.000131,0.005181
breeds,nonliving26,flows_6,val_source,14.813609,0.595900,0.435900,0.412657,0.407003,0.000157,0.000131,0.005162
breeds,nonliving26,flows_6,val_source,14.900489,0.606000,0.425800,0.402561,0.396905,0.000157,0.000131,0.005162
breeds,nonliving26,flows_6,val_source,14.991461,0.616100,0.415900,0.392464,0.386808,0.000157,0.000131,0.005077
breeds,nonliving26,flows_6,val_source,15.074773,0.626200,0.406200,0.382367,0.376711,0.000157,0.000131,0.004748
breeds,nonliving26,flows_6,val_source,15.176277,0.636300,0.396700,0.372270,0.366613,0.000157,0.000131,0.004114
breeds,nonliving26,flows_6,val_source,15.265078,0.646400,0.386800,0.362173,0.356516,0.000157,0.000131,0.003880
breeds,nonliving26,flows_6,val_source,15.370834,0.656500,0.376700,0.352185,0.346509,0.000000,0.000000,0.003880
breeds,nonliving26,flows_6,val_source,15.459969,0.666600,0.367000,0.342085,0.336409,0.000000,0.000000,0.003593
breeds,nonliving26,flows_6,val_source,15.542664,0.676700,0.357300,0.331985,0.326309,0.000000,0.000000,0.003078
breeds,nonliving26,flows_6,val_source,15.639214,0.686800,0.347200,0.321885,0.316209,0.000000,0.000000,0.003078
breeds,nonliving26,flows_6,val_source,15.749557,0.696900,0.337100,0.311785,0.306109,0.000000,0.000000,0.003078
breeds,nonliving26,flows_6,val_source,15.845819,0.707000,0.327400,0.301685,0.296009,0.000000,0.000000,0.002697
breeds,nonliving26,flows_6,val_source,15.932732,0.717100,0.317300,0.291585,0.285909,0.000000,0.000000,0.002697
breeds,nonliving26,flows_6,val_source,16.025644,0.727200,0.307200,0.281485,0.275809,0.000000,0.000000,0.002697
breeds,nonliving26,flows_6,val_source,16.113361,0.737300,0.297500,0.271385,0.265709,0.000000,0.000000,0.002254
breeds,nonliving26,flows_6,val_source,16.214350,0.747400,0.287400,0.261285,0.255609,0.000000,0.000000,0.002254
breeds,nonliving26,flows_6,val_source,16.319588,0.757500,0.277500,0.251185,0.245509,0.000000,0.000000,0.002024
breeds,nonliving26,flows_6,val_source,16.426497,0.767600,0.267400,0.241085,0.235409,0.000000,0.000000,0.002024
breeds,nonliving26,flows_6,val_source,16.526648,0.777700,0.257700,0.230985,0.225309,0.000000,0.000000,0.001336
breeds,nonliving26,flows_6,val_source,16.645138,0.787800,0.247600,0.220885,0.215209,0.000000,0.000000,0.001336
breeds,nonliving26,flows_6,val_source,16.774975,0.797900,0.237700,0.210785,0.205109,0.000000,0.000000,0.000981
breeds,nonliving26,flows_6,val_source,16.889557,0.808000,0.227600,0.200685,0.195009,0.000000,0.000000,0.000981
breeds,nonliving26,flows_6,val_source,17.025024,0.818100,0.217500,0.190585,0.184909,0.000000,0.000000,0.000981
breeds,nonliving26,flows_6,val_source,17.158148,0.828200,0.207400,0.180485,0.174809,0.000000,0.000000,0.000981
breeds,nonliving26,flows_6,val_source,17.312586,0.838300,0.197300,0.170385,0.164709,0.000000,0.000000,0.000981
breeds,nonliving26,flows_6,val_source,17.435102,0.848400,0.187200,0.160285,0.154609,0.000000,0.000000,0.000981
breeds,nonliving26,flows_6,val_source,17.594643,0.858500,0.177300,0.150185,0.144509,0.000000,0.000000,0.000695
breeds,nonliving26,flows_6,val_source,17.767355,0.868600,0.167200,0.140085,0.134409,0.000000,0.000000,0.000695
breeds,nonliving26,flows_6,val_source,17.961411,0.878700,0.157100,0.129985,0.124309,0.000000,0.000000,0.000695
breeds,nonliving26,flows_6,val_source,18.149153,0.888800,0.147000,0.119885,0.114209,0.000000,0.000000,0.000695
breeds,nonliving26,flows_6,val_source,18.341530,0.898900,0.136900,0.109785,0.104109,0.000000,0.000000,0.000695
breeds,nonliving26,flows_6,val_source,18.568268,0.909000,0.126800,0.099685,0.094009,0.000000,0.000000,0.000695
breeds,nonliving26,flows_6,val_source,18.817596,0.919100,0.116700,0.089585,0.083909,0.000000,0.000000,0.000695
breeds,nonliving26,flows_6,val_source,19.046118,0.929200,0.106800,0.079485,0.073809,0.000000,0.000000,0.000000
breeds,nonliving26,flows_6,val_source,19.333237,0.939300,0.096700,0.069385,0.063709,0.000000,0.000000,0.000000
breeds,nonliving26,flows_6,val_source,19.642546,0.949400,0.086600,0.059285,0.053609,0.000000,0.000000,0.000000
breeds,nonliving26,flows_6,val_source,20.060406,0.959500,0.076500,0.049185,0.043509,0.000000,0.000000,0.000000
breeds,nonliving26,flows_6,val_source,20.551947,0.969600,0.066400,0.039085,0.033409,0.000000,0.000000,0.000000
breeds,nonliving26,flows_6,val_source,21.158848,0.979700,0.056300,0.028985,0.023309,0.000000,0.000000,0.000000
breeds,nonliving26,flows_6,val_source,22.287476,0.989800,0.046200,0.018885,0.013209,0.000000,0.000000,0.000000
breeds,nonliving26,flows_6,val_source,31.609562,0.999900,0.036100,0.008785,0.003109,0.000000,0.000000,0.000000
breeds,nonliving26,flows_6,val_target,1.703067,0.000000,0.669819,0.882306,0.973296,0.117694,0.026704,0.330181
breeds,nonliving26,flows_6,val_target,3.322464,0.010090,0.675060,0.883730,0.967726,0.113078,0.024693,0.325788
breeds,nonliving26,flows_6,val_target,3.713698,0.020196,0.678901,0.885496,0.961054,0.108186,0.023195,0.322046
breeds,nonliving26,flows_6,val_target,4.017714,0.030301,0.682620,0.887920,0.954434,0.102853,0.021640,0.318274
breeds,nonliving26,flows_6,val_target,4.248142,0.040392,0.686928,0.888850,0.947351,0.098192,0.020300,0.314118
breeds,nonliving26,flows_6,val_target,4.444419,0.050497,0.690587,0.889336,0.939440,0.093660,0.019361,0.310208
breeds,nonliving26,flows_6,val_target,4.620164,0.060602,0.693283,0.889476,0.931628,0.089214,0.018349,0.306732
breeds,nonliving26,flows_6,val_target,4.778972,0.070693,0.696928,0.889223,0.923556,0.084890,0.017462,0.302672
breeds,nonliving26,flows_6,val_target,4.926608,0.080798,0.699834,0.888154,0.915476,0.080908,0.016552,0.298922
breeds,nonliving26,flows_6,val_target,5.068048,0.090904,0.702470,0.887062,0.907261,0.076850,0.015697,0.295237
breeds,nonliving26,flows_6,val_target,5.202831,0.100994,0.704940,0.885675,0.898974,0.072872,0.014869,0.291561
breeds,nonliving26,flows_6,val_target,5.332279,0.111099,0.707605,0.883656,0.890269,0.069152,0.014251,0.287701
breeds,nonliving26,flows_6,val_target,5.459592,0.121205,0.709518,0.881426,0.881625,0.065466,0.013583,0.284157
breeds,nonliving26,flows_6,val_target,5.575005,0.131310,0.711340,0.878728,0.873034,0.061964,0.012869,0.280603
breeds,nonliving26,flows_6,val_target,5.692551,0.141401,0.713057,0.875561,0.864422,0.058661,0.012160,0.277034
breeds,nonliving26,flows_6,val_target,5.812833,0.151506,0.714849,0.872053,0.855638,0.055472,0.011526,0.273323
breeds,nonliving26,flows_6,val_target,5.924117,0.161611,0.716611,0.868258,0.846949,0.052377,0.010820,0.269520
breeds,nonliving26,flows_6,val_target,6.046582,0.171702,0.718148,0.864942,0.837705,0.048926,0.010441,0.265805
breeds,nonliving26,flows_6,val_target,6.158339,0.181807,0.720211,0.860737,0.828810,0.045924,0.009831,0.261647
breeds,nonliving26,flows_6,val_target,6.271608,0.191913,0.721039,0.856297,0.819477,0.042993,0.009475,0.258158
breeds,nonliving26,flows_6,val_target,6.374537,0.202003,0.722154,0.850976,0.810021,0.040548,0.009198,0.254402
breeds,nonliving26,flows_6,val_target,6.476393,0.212108,0.722289,0.845360,0.800870,0.038219,0.008710,0.251166
breeds,nonliving26,flows_6,val_target,6.577749,0.222214,0.722937,0.839304,0.791218,0.036112,0.008532,0.247512
