config,method,type,mean_est,mean_true,mean_mae,std_mae
flows_6,ENGPE,ST,0.958216,0.557898,0.400317,0.183107
flows_6,ENGPE,TA,0.958440,0.761561,0.196879,0.067480
flows_6,ENGPE-TA,ST,0.803320,0.557898,0.245422,0.109571
flows_6,ENGPE-TA,TA,0.843428,0.761561,0.091188,0.043251
flows_6,ATC,ST,0.767927,0.557898,0.210028,0.102440
flows_6,ATC,TA,0.767927,0.761561,0.075763,0.064011
flows_6,ATC-NE,ST,0.685530,0.557898,0.127631,0.073821
flows_6,ATC-NE,TA,0.685530,0.761561,0.095491,0.114598
flows_6,AC,ST,0.849770,0.557898,0.291871,0.138287
flows_6,AC,TA,0.849770,0.761561,0.101262,0.050111
flows_6,DOC,ST,0.849707,0.557898,0.291809,0.138287
flows_6,DOC,TA,0.849707,0.761561,0.101211,0.050103
flows_6,COT,ST,0.744295,0.557898,0.186397,0.090315
flows_6,COT,TA,0.744295,0.761561,0.089848,0.092903
