dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,seed_123,val_source,1.809765,0.000000,0.972200,0.962280,0.948143,0.037720,0.051857,0.027800
breeds,entity13,seed_123,val_source,4.454363,0.010100,0.973700,0.954858,0.947490,0.036752,0.047614,0.022224
breeds,entity13,seed_123,val_source,5.266182,0.020200,0.970200,0.949008,0.946084,0.034962,0.043668,0.019082
breeds,entity13,seed_123,val_source,5.844217,0.030300,0.965100,0.942983,0.941199,0.033226,0.041434,0.016699
breeds,entity13,seed_123,val_source,6.313220,0.040400,0.959000,0.937390,0.937154,0.031227,0.038715,0.014790
breeds,entity13,seed_123,val_source,6.721351,0.050500,0.951700,0.931937,0.932566,0.029112,0.036225,0.013479
breeds,entity13,seed_123,val_source,7.077842,0.060600,0.944200,0.926601,0.928451,0.026889,0.033429,0.012235
breeds,entity13,seed_123,val_source,7.386108,0.070700,0.937100,0.920742,0.924704,0.024899,0.030374,0.010761
breeds,entity13,seed_123,val_source,7.697055,0.080800,0.929000,0.915108,0.919488,0.022744,0.028051,0.009791
breeds,entity13,seed_123,val_source,7.934863,0.090900,0.920300,0.908022,0.912758,0.021339,0.026509,0.009130
breeds,entity13,seed_123,val_source,8.161813,0.101000,0.912000,0.900594,0.906214,0.020093,0.024829,0.008230
breeds,entity13,seed_123,val_source,8.354984,0.111100,0.903500,0.893537,0.898842,0.018609,0.023577,0.007418
breeds,entity13,seed_123,val_source,8.543102,0.121200,0.894000,0.885673,0.892466,0.017551,0.021729,0.007150
breeds,entity13,seed_123,val_source,8.717984,0.131300,0.884700,0.877934,0.884717,0.016396,0.020628,0.006790
breeds,entity13,seed_123,val_source,8.894741,0.141400,0.875200,0.870237,0.877453,0.015189,0.019219,0.006497
breeds,entity13,seed_123,val_source,9.074322,0.151500,0.865500,0.862028,0.870038,0.014256,0.017866,0.006351
breeds,entity13,seed_123,val_source,9.233978,0.161600,0.856800,0.853631,0.861578,0.013412,0.017103,0.005598
breeds,entity13,seed_123,val_source,9.376641,0.171700,0.847700,0.844880,0.852929,0.012761,0.016436,0.005049
breeds,entity13,seed_123,val_source,9.532977,0.181800,0.838600,0.836430,0.844256,0.011911,0.015767,0.004520
breeds,entity13,seed_123,val_source,9.666453,0.191900,0.829700,0.827878,0.836228,0.011102,0.014682,0.003825
breeds,entity13,seed_123,val_source,9.808128,0.202000,0.820200,0.818919,0.828374,0.010527,0.013460,0.003505
breeds,entity13,seed_123,val_source,9.941912,0.212100,0.810500,0.810384,0.819720,0.009669,0.012715,0.003297
breeds,entity13,seed_123,val_source,10.064883,0.222200,0.800600,0.801134,0.810883,0.009248,0.012069,0.003178
breeds,entity13,seed_123,val_source,10.176873,0.232300,0.790900,0.791784,0.801574,0.008881,0.011712,0.002973
breeds,entity13,seed_123,val_source,10.298368,0.242400,0.781000,0.782789,0.792675,0.008271,0.011076,0.002870
breeds,entity13,seed_123,val_source,10.405011,0.252500,0.771300,0.773849,0.783392,0.007606,0.010679,0.002674
breeds,entity13,seed_123,val_source,10.509220,0.262600,0.761200,0.764332,0.774331,0.007315,0.010120,0.002674
breeds,entity13,seed_123,val_source,10.619590,0.272700,0.751500,0.755097,0.765440,0.006822,0.009430,0.002448
breeds,entity13,seed_123,val_source,10.728116,0.282800,0.741600,0.745452,0.756156,0.006601,0.008994,0.002338
breeds,entity13,seed_123,val_source,10.831793,0.292900,0.731500,0.735995,0.746488,0.006241,0.008817,0.002338
breeds,entity13,seed_123,val_source,10.926672,0.303000,0.721600,0.726495,0.737401,0.005901,0.008218,0.002277
breeds,entity13,seed_123,val_source,11.031400,0.313100,0.711500,0.716827,0.727958,0.005673,0.007860,0.002277
breeds,entity13,seed_123,val_source,11.127839,0.323200,0.701400,0.707192,0.718611,0.005414,0.007422,0.002277
breeds,entity13,seed_123,val_source,11.237006,0.333300,0.691300,0.697617,0.710105,0.005103,0.006339,0.002277
breeds,entity13,seed_123,val_source,11.329123,0.343400,0.681400,0.688069,0.700666,0.004761,0.005932,0.002257
breeds,entity13,seed_123,val_source,11.426564,0.353500,0.671500,0.678330,0.691735,0.004555,0.005121,0.002145
