config,method,type,mean_est,mean_true,mean_mae,std_mae
seed_123,ENGPE,ST,0.921463,0.594575,0.326888,0.151511
seed_123,ENGPE,TA,0.923228,0.768761,0.156076,0.055082
seed_123,ENGPE-TA,ST,0.783484,0.594575,0.188909,0.070046
seed_123,ENGPE-TA,TA,0.843095,0.768761,0.078360,0.033780
seed_123,ATC,ST,0.794079,0.594575,0.199504,0.097855
seed_123,ATC,TA,0.794079,0.768761,0.071418,0.052381
seed_123,ATC-NE,ST,0.787606,0.594575,0.193030,0.090734
seed_123,ATC-NE,TA,0.787606,0.768761,0.077563,0.060813
seed_123,AC,ST,0.891952,0.594575,0.297377,0.141956
seed_123,AC,TA,0.891952,0.768761,0.126319,0.050427
seed_123,DOC,ST,0.891928,0.594575,0.297352,0.141956
seed_123,DOC,TA,0.891928,0.768761,0.126296,0.050424
seed_123,COT,ST,0.785057,0.594575,0.190481,0.083108
seed_123,COT,TA,0.785057,0.768761,0.085217,0.069514
