dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,nonliving26,seed_42,val_source,3.241184,0.000000,0.964000,0.990360,0.995076,0.009640,0.004924,0.036000
breeds,nonliving26,seed_42,val_source,5.810684,0.010100,0.963700,0.985191,0.988615,0.007248,0.003136,0.031417
breeds,nonliving26,seed_42,val_source,6.864963,0.020200,0.961200,0.978120,0.980126,0.005777,0.002347,0.027863
breeds,nonliving26,seed_42,val_source,7.381795,0.030300,0.958300,0.969589,0.971019,0.005028,0.001859,0.024441
breeds,nonliving26,seed_42,val_source,7.776684,0.040400,0.955000,0.960703,0.961735,0.004448,0.001453,0.021155
breeds,nonliving26,seed_42,val_source,8.232370,0.050500,0.949100,0.951749,0.952036,0.003892,0.001257,0.019168
breeds,nonliving26,seed_42,val_source,8.649825,0.060600,0.942200,0.942444,0.942330,0.003511,0.001061,0.017665
breeds,nonliving26,seed_42,val_source,8.981164,0.070700,0.934700,0.933015,0.932825,0.003188,0.000753,0.016450
breeds,nonliving26,seed_42,val_source,9.334938,0.080800,0.926400,0.923576,0.922741,0.002864,0.000753,0.015645
breeds,nonliving26,seed_42,val_source,9.564146,0.090900,0.918300,0.913697,0.913024,0.002774,0.000550,0.014740
breeds,nonliving26,seed_42,val_source,9.762373,0.101000,0.910800,0.903808,0.902935,0.002688,0.000550,0.013456
breeds,nonliving26,seed_42,val_source,9.978994,0.111100,0.902100,0.894101,0.892846,0.002497,0.000550,0.012823
breeds,nonliving26,seed_42,val_source,10.207026,0.121200,0.893200,0.884398,0.882757,0.002300,0.000550,0.012253
breeds,nonliving26,seed_42,val_source,10.378146,0.131300,0.884900,0.874487,0.872668,0.002218,0.000550,0.011391
breeds,nonliving26,seed_42,val_source,10.565778,0.141400,0.875800,0.864516,0.862579,0.002169,0.000550,0.010939
breeds,nonliving26,seed_42,val_source,10.734618,0.151500,0.866500,0.854532,0.852490,0.002126,0.000550,0.010575
breeds,nonliving26,seed_42,val_source,10.896999,0.161600,0.857800,0.844525,0.842401,0.002096,0.000550,0.009894
breeds,nonliving26,seed_42,val_source,11.043142,0.171700,0.848900,0.834628,0.832313,0.002000,0.000550,0.009278
