config,method,type,mean_est,mean_true,mean_mae,std_mae
seed_456,ENGPE,ST,0.935928,0.557898,0.378029,0.172477
seed_456,ENGPE,TA,0.936907,0.761561,0.175500,0.065152
seed_456,ENGPE-TA,ST,0.785643,0.557898,0.227745,0.100001
seed_456,ENGPE-TA,TA,0.838755,0.761561,0.085454,0.040364
seed_456,ATC,ST,0.767927,0.557898,0.210028,0.102440
seed_456,ATC,TA,0.767927,0.761561,0.075763,0.064011
seed_456,ATC-NE,ST,0.685530,0.557898,0.127631,0.073821
seed_456,ATC-NE,TA,0.685530,0.761561,0.095491,0.114598
seed_456,AC,ST,0.849770,0.557898,0.291871,0.138287
seed_456,AC,TA,0.849770,0.761561,0.101262,0.050111
seed_456,DOC,ST,0.849707,0.557898,0.291809,0.138287
seed_456,DOC,TA,0.849707,0.761561,0.101211,0.050103
seed_456,COT,ST,0.744295,0.557898,0.186397,0.090315
seed_456,COT,TA,0.744295,0.761561,0.089848,0.092903
