dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity30,zscore_norm,val_source,3.806314,0.000000,0.969200,0.994208,0.995480,0.005792,0.004520,0.030800
breeds,entity30,zscore_norm,val_source,6.725999,0.010100,0.969700,0.986669,0.988003,0.004558,0.003241,0.025750
breeds,entity30,zscore_norm,val_source,7.797575,0.020200,0.968200,0.978485,0.979912,0.003627,0.002250,0.021637
breeds,entity30,zscore_norm,val_source,8.516130,0.030300,0.962900,0.969570,0.970624,0.003054,0.001854,0.019387
breeds,entity30,zscore_norm,val_source,9.118033,0.040400,0.958000,0.960560,0.961727,0.002517,0.001247,0.016880
breeds,entity30,zscore_norm,val_source,9.587058,0.050500,0.951500,0.951157,0.952234,0.002177,0.000940,0.015166
breeds,entity30,zscore_norm,val_source,10.013796,0.060600,0.944800,0.941735,0.942525,0.001840,0.000743,0.013518
breeds,entity30,zscore_norm,val_source,10.273667,0.070700,0.935700,0.931953,0.932821,0.001689,0.000538,0.013127
breeds,entity30,zscore_norm,val_source,10.555158,0.080800,0.926600,0.922127,0.922928,0.001558,0.000431,0.012699
breeds,entity30,zscore_norm,val_source,10.843086,0.090900,0.918500,0.912356,0.913026,0.001395,0.000327,0.011762
breeds,entity30,zscore_norm,val_source,11.129561,0.101000,0.909800,0.902473,0.903121,0.001289,0.000222,0.011115
breeds,entity30,zscore_norm,val_source,11.291728,0.111100,0.901500,0.892455,0.893026,0.001258,0.000222,0.010217
breeds,entity30,zscore_norm,val_source,11.501163,0.121200,0.892600,0.882611,0.882930,0.001127,0.000222,0.009672
breeds,entity30,zscore_norm,val_source,11.657480,0.131300,0.883500,0.872561,0.872835,0.001111,0.000222,0.009206
breeds,entity30,zscore_norm,val_source,11.823189,0.141400,0.874400,0.862600,0.862739,0.001043,0.000222,0.008723
breeds,entity30,zscore_norm,val_source,11.963902,0.151500,0.865300,0.852619,0.852822,0.000986,0.000117,0.008246
breeds,entity30,zscore_norm,val_source,12.111108,0.161600,0.856000,0.842582,0.842725,0.000960,0.000117,0.007845
breeds,entity30,zscore_norm,val_source,12.247869,0.171700,0.847100,0.832547,0.832627,0.000932,0.000117,0.007239
breeds,entity30,zscore_norm,val_source,12.364087,0.181800,0.837400,0.822588,0.822720,0.000858,0.000000,0.007070
breeds,entity30,zscore_norm,val_source,12.482041,0.191900,0.828100,0.812636,0.812620,0.000777,0.000000,0.006656
breeds,entity30,zscore_norm,val_source,12.587523,0.202000,0.818400,0.802578,0.802520,0.000760,0.000000,0.006513
breeds,entity30,zscore_norm,val_source,12.700681,0.212100,0.809300,0.792525,0.792420,0.000740,0.000000,0.005930
breeds,entity30,zscore_norm,val_source,12.794377,0.222200,0.799200,0.782440,0.782320,0.000740,0.000000,0.005930
breeds,entity30,zscore_norm,val_source,12.911542,0.232300,0.789900,0.772367,0.772220,0.000733,0.000000,0.005577
breeds,entity30,zscore_norm,val_source,13.013055,0.242400,0.780400,0.762312,0.762120,0.000712,0.000000,0.005264
breeds,entity30,zscore_norm,val_source,13.108139,0.252500,0.770300,0.752319,0.752020,0.000651,0.000000,0.005264
breeds,entity30,zscore_norm,val_source,13.200124,0.262600,0.760600,0.742232,0.741920,0.000651,0.000000,0.005152
breeds,entity30,zscore_norm,val_source,13.286651,0.272700,0.750700,0.732145,0.731820,0.000651,0.000000,0.005027
breeds,entity30,zscore_norm,val_source,13.390979,0.282800,0.740600,0.722120,0.721720,0.000607,0.000000,0.005027
breeds,entity30,zscore_norm,val_source,13.482860,0.292900,0.730700,0.712033,0.711620,0.000607,0.000000,0.005027
breeds,entity30,zscore_norm,val_source,13.565183,0.303000,0.720800,0.701989,0.701520,0.000576,0.000000,0.004991
breeds,entity30,zscore_norm,val_source,13.675820,0.313100,0.710700,0.691944,0.691420,0.000544,0.000000,0.004991
breeds,entity30,zscore_norm,val_source,13.768365,0.323200,0.700800,0.681855,0.681320,0.000544,0.000000,0.004962
breeds,entity30,zscore_norm,val_source,13.858596,0.333300,0.690700,0.671809,0.671220,0.000512,0.000000,0.004962
breeds,entity30,zscore_norm,val_source,13.940606,0.343400,0.680600,0.661720,0.661120,0.000512,0.000000,0.004962
breeds,entity30,zscore_norm,val_source,14.003906,0.353500,0.670700,0.651630,0.651020,0.000512,0.000000,0.004962
breeds,entity30,zscore_norm,val_source,14.079394,0.363600,0.660600,0.641579,0.640920,0.000481,0.000000,0.004962
breeds,entity30,zscore_norm,val_source,14.154701,0.373700,0.650700,0.631489,0.630820,0.000481,0.000000,0.004962
breeds,entity30,zscore_norm,val_source,14.234745,0.383800,0.640800,0.621398,0.620720,0.000481,0.000000,0.004962
breeds,entity30,zscore_norm,val_source,14.314937,0.393900,0.630900,0.611362,0.610620,0.000437,0.000000,0.004913
breeds,entity30,zscore_norm,val_source,14.390791,0.404000,0.621200,0.601341,0.600520,0.000378,0.000000,0.004675
breeds,entity30,zscore_norm,val_source,14.465767,0.414100,0.611100,0.591249,0.590420,0.000378,0.000000,0.004675
breeds,entity30,zscore_norm,val_source,14.545707,0.424200,0.601400,0.581157,0.580320,0.000378,0.000000,0.004511
breeds,entity30,zscore_norm,val_source,14.615200,0.434300,0.591500,0.571064,0.570220,0.000378,0.000000,0.004397
breeds,entity30,zscore_norm,val_source,14.698407,0.444400,0.581400,0.560972,0.560120,0.000378,0.000000,0.004397
breeds,entity30,zscore_norm,val_source,14.780227,0.454500,0.571700,0.550880,0.550020,0.000378,0.000000,0.004208
breeds,entity30,zscore_norm,val_source,14.860284,0.464600,0.561800,0.540830,0.539920,0.000338,0.000000,0.004049
breeds,entity30,zscore_norm,val_source,14.933947,0.474700,0.551700,0.530736,0.529820,0.000338,0.000000,0.004049
breeds,entity30,zscore_norm,val_source,15.025041,0.484800,0.541600,0.520643,0.519720,0.000338,0.000000,0.004049
breeds,entity30,zscore_norm,val_source,15.119963,0.494900,0.531500,0.510550,0.509620,0.000338,0.000000,0.004049
breeds,entity30,zscore_norm,val_source,15.183101,0.505000,0.521800,0.500457,0.499520,0.000338,0.000000,0.004034
breeds,entity30,zscore_norm,val_source,15.278000,0.515100,0.511700,0.490364,0.489420,0.000338,0.000000,0.004034
breeds,entity30,zscore_norm,val_source,15.353392,0.525200,0.501800,0.480271,0.479320,0.000338,0.000000,0.003929
breeds,entity30,zscore_norm,val_source,15.440926,0.535300,0.491900,0.470237,0.469220,0.000274,0.000000,0.003810
breeds,entity30,zscore_norm,val_source,15.514199,0.545400,0.481800,0.460143,0.459120,0.000274,0.000000,0.003810
breeds,entity30,zscore_norm,val_source,15.584647,0.555500,0.471900,0.450144,0.449020,0.000167,0.000000,0.003763
breeds,entity30,zscore_norm,val_source,15.679794,0.565600,0.461800,0.440047,0.438920,0.000167,0.000000,0.003763
breeds,entity30,zscore_norm,val_source,15.765148,0.575700,0.451900,0.429950,0.428820,0.000167,0.000000,0.003754
breeds,entity30,zscore_norm,val_source,15.849681,0.585800,0.442000,0.419854,0.418720,0.000167,0.000000,0.003605
breeds,entity30,zscore_norm,val_source,15.928007,0.595900,0.431900,0.409757,0.408620,0.000167,0.000000,0.003605
breeds,entity30,zscore_norm,val_source,16.024366,0.606000,0.421800,0.399660,0.398520,0.000167,0.000000,0.003605
breeds,entity30,zscore_norm,val_source,16.110676,0.616100,0.411900,0.389564,0.388420,0.000167,0.000000,0.003598
breeds,entity30,zscore_norm,val_source,16.200462,0.626200,0.402000,0.379467,0.378320,0.000167,0.000000,0.003442
breeds,entity30,zscore_norm,val_source,16.293360,0.636300,0.391900,0.369371,0.368220,0.000167,0.000000,0.003442
breeds,entity30,zscore_norm,val_source,16.385916,0.646400,0.381800,0.359274,0.358120,0.000167,0.000000,0.003442
breeds,entity30,zscore_norm,val_source,16.485958,0.656500,0.371900,0.349177,0.348020,0.000167,0.000000,0.003408
breeds,entity30,zscore_norm,val_source,16.592001,0.666600,0.362000,0.339081,0.337920,0.000167,0.000000,0.003272
breeds,entity30,zscore_norm,val_source,16.691748,0.676700,0.351900,0.328984,0.327820,0.000167,0.000000,0.003272
breeds,entity30,zscore_norm,val_source,16.796698,0.686800,0.341800,0.318887,0.317720,0.000167,0.000000,0.003272
breeds,entity30,zscore_norm,val_source,16.913809,0.696900,0.331900,0.308791,0.307620,0.000167,0.000000,0.003196
breeds,entity30,zscore_norm,val_source,17.042662,0.707000,0.321800,0.298694,0.297520,0.000167,0.000000,0.003196
breeds,entity30,zscore_norm,val_source,17.158415,0.717100,0.311700,0.288597,0.287420,0.000167,0.000000,0.003196
breeds,entity30,zscore_norm,val_source,17.256248,0.727200,0.301800,0.278501,0.277320,0.000167,0.000000,0.003196
breeds,entity30,zscore_norm,val_source,17.358232,0.737300,0.291700,0.268404,0.267220,0.000167,0.000000,0.003196
breeds,entity30,zscore_norm,val_source,17.472212,0.747400,0.281800,0.258392,0.257120,0.000000,0.000000,0.003142
breeds,entity30,zscore_norm,val_source,17.607416,0.757500,0.271900,0.248292,0.247020,0.000000,0.000000,0.002842
breeds,entity30,zscore_norm,val_source,17.744307,0.767600,0.262000,0.238192,0.236920,0.000000,0.000000,0.002513
breeds,entity30,zscore_norm,val_source,17.884577,0.777700,0.251900,0.228092,0.226820,0.000000,0.000000,0.002513
breeds,entity30,zscore_norm,val_source,18.018026,0.787800,0.241800,0.217992,0.216720,0.000000,0.000000,0.002513
breeds,entity30,zscore_norm,val_source,18.144810,0.797900,0.231900,0.207892,0.206620,0.000000,0.000000,0.002434
breeds,entity30,zscore_norm,val_source,18.290283,0.808000,0.222000,0.197792,0.196520,0.000000,0.000000,0.001988
breeds,entity30,zscore_norm,val_source,18.436531,0.818100,0.211900,0.187692,0.186420,0.000000,0.000000,0.001988
breeds,entity30,zscore_norm,val_source,18.613226,0.828200,0.202000,0.177592,0.176320,0.000000,0.000000,0.001685
breeds,entity30,zscore_norm,val_source,18.766500,0.838300,0.191900,0.167492,0.166220,0.000000,0.000000,0.001685
breeds,entity30,zscore_norm,val_source,18.966671,0.848400,0.181800,0.157392,0.156120,0.000000,0.000000,0.001685
breeds,entity30,zscore_norm,val_source,19.172634,0.858500,0.171900,0.147292,0.146020,0.000000,0.000000,0.001325
breeds,entity30,zscore_norm,val_source,19.372543,0.868600,0.162000,0.137192,0.135920,0.000000,0.000000,0.000724
breeds,entity30,zscore_norm,val_source,19.570436,0.878700,0.151900,0.127092,0.125820,0.000000,0.000000,0.000724
breeds,entity30,zscore_norm,val_source,19.794214,0.888800,0.142000,0.116992,0.115720,0.000000,0.000000,0.000000
breeds,entity30,zscore_norm,val_source,20.006853,0.898900,0.131900,0.106892,0.105620,0.000000,0.000000,0.000000
breeds,entity30,zscore_norm,val_source,20.316387,0.909000,0.121800,0.096792,0.095520,0.000000,0.000000,0.000000
breeds,entity30,zscore_norm,val_source,20.587685,0.919100,0.111700,0.086692,0.085420,0.000000,0.000000,0.000000
breeds,entity30,zscore_norm,val_source,20.919266,0.929200,0.101600,0.076592,0.075320,0.000000,0.000000,0.000000
breeds,entity30,zscore_norm,val_source,21.282747,0.939300,0.091500,0.066492,0.065220,0.000000,0.000000,0.000000
breeds,entity30,zscore_norm,val_source,21.652948,0.949400,0.081400,0.056392,0.055120,0.000000,0.000000,0.000000
breeds,entity30,zscore_norm,val_source,22.228832,0.959500,0.071300,0.046292,0.045020,0.000000,0.000000,0.000000
breeds,entity30,zscore_norm,val_source,22.803152,0.969600,0.061200,0.036192,0.034920,0.000000,0.000000,0.000000
breeds,entity30,zscore_norm,val_source,23.721649,0.979700,0.051100,0.026092,0.024820,0.000000,0.000000,0.000000
breeds,entity30,zscore_norm,val_source,25.105362,0.989800,0.041000,0.015992,0.014720,0.000000,0.000000,0.000000
breeds,entity30,zscore_norm,val_source,31.866165,0.999900,0.030900,0.005892,0.004620,0.000000,0.000000,0.000000
