config,method,type,mean_est,mean_true,mean_mae,std_mae
zscore_norm,ENGPE,ST,0.928134,0.594575,0.333559,0.157979
zscore_norm,ENGPE,TA,0.928771,0.768761,0.160192,0.055620
zscore_norm,ENGPE-TA,ST,0.803654,0.594575,0.209079,0.084193
zscore_norm,ENGPE-TA,TA,0.848723,0.768761,0.084678,0.036331
zscore_norm,ATC,ST,0.794079,0.594575,0.199504,0.097855
zscore_norm,ATC,TA,0.794079,0.768761,0.071418,0.052381
zscore_norm,ATC-NE,ST,0.787606,0.594575,0.193030,0.090734
zscore_norm,ATC-NE,TA,0.787606,0.768761,0.077563,0.060813
zscore_norm,AC,ST,0.891952,0.594575,0.297377,0.141956
zscore_norm,AC,TA,0.891952,0.768761,0.126319,0.050427
zscore_norm,DOC,ST,0.891928,0.594575,0.297352,0.141956
zscore_norm,DOC,TA,0.891928,0.768761,0.126296,0.050424
zscore_norm,COT,ST,0.785057,0.594575,0.190481,0.083108
zscore_norm,COT,TA,0.785057,0.768761,0.085217,0.069514
