dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,nonliving26,zscore_norm,val_source,3.241184,0.000000,0.964000,0.991100,0.994368,0.008900,0.005632,0.036000
breeds,nonliving26,zscore_norm,val_source,5.810684,0.010100,0.963700,0.986013,0.988522,0.006459,0.003540,0.031417
breeds,nonliving26,zscore_norm,val_source,6.864963,0.020200,0.961200,0.978859,0.980624,0.005022,0.002453,0.027863
breeds,nonliving26,zscore_norm,val_source,7.381795,0.030300,0.958300,0.970118,0.971541,0.004374,0.001955,0.024441
breeds,nonliving26,zscore_norm,val_source,7.776684,0.040400,0.955000,0.960980,0.962235,0.003918,0.001561,0.021155
breeds,nonliving26,zscore_norm,val_source,8.232370,0.050500,0.949100,0.951904,0.952745,0.003421,0.001257,0.019168
breeds,nonliving26,zscore_norm,val_source,8.649825,0.060600,0.942200,0.942569,0.942839,0.003050,0.001167,0.017665
breeds,nonliving26,zscore_norm,val_source,8.981164,0.070700,0.934700,0.933023,0.932929,0.002786,0.001077,0.016450
breeds,nonliving26,zscore_norm,val_source,9.334938,0.080800,0.926400,0.923479,0.923043,0.002514,0.000973,0.015645
breeds,nonliving26,zscore_norm,val_source,9.564146,0.090900,0.918300,0.913705,0.912963,0.002362,0.000973,0.014740
breeds,nonliving26,zscore_norm,val_source,9.762373,0.101000,0.910800,0.903818,0.903041,0.002270,0.000885,0.013456
breeds,nonliving26,zscore_norm,val_source,9.978994,0.111100,0.902100,0.894020,0.893135,0.002126,0.000786,0.012823
breeds,nonliving26,zscore_norm,val_source,10.207026,0.121200,0.893200,0.884157,0.883242,0.002016,0.000677,0.012253
breeds,nonliving26,zscore_norm,val_source,10.378146,0.131300,0.884900,0.874383,0.873339,0.001852,0.000571,0.011391
breeds,nonliving26,zscore_norm,val_source,10.565778,0.141400,0.875800,0.864527,0.863251,0.001731,0.000571,0.010939
breeds,nonliving26,zscore_norm,val_source,10.734618,0.151500,0.866500,0.854580,0.853533,0.001662,0.000353,0.010575
breeds,nonliving26,zscore_norm,val_source,10.896999,0.161600,0.857800,0.844667,0.843635,0.001570,0.000237,0.009894
breeds,nonliving26,zscore_norm,val_source,11.043142,0.171700,0.848900,0.834736,0.833540,0.001487,0.000237,0.009278
breeds,nonliving26,zscore_norm,val_source,11.169700,0.181800,0.839800,0.824782,0.823444,0.001417,0.000237,0.008770
breeds,nonliving26,zscore_norm,val_source,11.302322,0.191900,0.830700,0.814752,0.813349,0.001391,0.000237,0.008257
breeds,nonliving26,zscore_norm,val_source,11.412671,0.202000,0.821200,0.804810,0.803254,0.001310,0.000237,0.007980
breeds,nonliving26,zscore_norm,val_source,11.552350,0.212100,0.811700,0.794847,0.793159,0.001239,0.000237,0.007711
breeds,nonliving26,zscore_norm,val_source,11.654669,0.222200,0.802000,0.784869,0.783064,0.001177,0.000237,0.007531
breeds,nonliving26,zscore_norm,val_source,11.755994,0.232300,0.792500,0.774822,0.772968,0.001158,0.000237,0.007248
breeds,nonliving26,zscore_norm,val_source,11.879072,0.242400,0.782400,0.764805,0.762873,0.001119,0.000237,0.007248
breeds,nonliving26,zscore_norm,val_source,11.989620,0.252500,0.772500,0.754862,0.752778,0.001029,0.000237,0.007248
breeds,nonliving26,zscore_norm,val_source,12.090422,0.262600,0.762600,0.744783,0.742683,0.001029,0.000237,0.007248
breeds,nonliving26,zscore_norm,val_source,12.219287,0.272700,0.752900,0.734871,0.732587,0.000914,0.000237,0.007095
