config,method,type,mean_est,mean_true,mean_mae,std_mae
zscore_norm,ENGPE,ST,0.920103,0.557898,0.362205,0.169226
zscore_norm,ENGPE,TA,0.921696,0.761561,0.160417,0.061115
zscore_norm,ENGPE-TA,ST,0.784544,0.557898,0.226646,0.104484
zscore_norm,ENGPE-TA,TA,0.839119,0.761561,0.085563,0.040099
zscore_norm,ATC,ST,0.767927,0.557898,0.210028,0.102440
zscore_norm,ATC,TA,0.767927,0.761561,0.075763,0.064011
zscore_norm,ATC-NE,ST,0.685530,0.557898,0.127631,0.073821
zscore_norm,ATC-NE,TA,0.685530,0.761561,0.095491,0.114598
zscore_norm,AC,ST,0.849770,0.557898,0.291871,0.138287
zscore_norm,AC,TA,0.849770,0.761561,0.101262,0.050111
zscore_norm,DOC,ST,0.849707,0.557898,0.291809,0.138287
zscore_norm,DOC,TA,0.849707,0.761561,0.101211,0.050103
zscore_norm,COT,ST,0.744295,0.557898,0.186397,0.090315
zscore_norm,COT,TA,0.744295,0.761561,0.089848,0.092903
