dataset,tile,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.000000,0.561618,0.809290,0.837016,0.190710,0.162984,0.438382
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.010100,0.565155,0.803043,0.835793,0.190710,0.160163,0.435966
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.020201,0.568813,0.796794,0.834382,0.190710,0.157379,0.433438
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.030303,0.572219,0.790546,0.832582,0.190710,0.154738,0.430990
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.040404,0.575362,0.784297,0.830674,0.190710,0.152098,0.428626
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.050504,0.578363,0.778050,0.828955,0.190710,0.149303,0.426286
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.060605,0.581115,0.771911,0.826848,0.190652,0.146653,0.424029
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.070706,0.583530,0.766089,0.825056,0.190421,0.143776,0.421902
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.080808,0.585904,0.760480,0.822900,0.190070,0.141035,0.419752
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.090908,0.588316,0.754982,0.820662,0.189651,0.138278,0.417536
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.101009,0.590475,0.749678,0.818458,0.189114,0.135439,0.415407
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.111110,0.592727,0.744539,0.816299,0.188472,0.132510,0.413181
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.121212,0.594664,0.739508,0.813910,0.187753,0.129646,0.411077
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.131312,0.596826,0.734698,0.811321,0.186891,0.126829,0.408801
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.141413,0.598619,0.730019,0.808837,0.185933,0.123886,0.406686
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.151514,0.600570,0.725384,0.806232,0.184925,0.120943,0.404425
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.161616,0.602302,0.720789,0.803721,0.183869,0.117874,0.402237
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.171717,0.604022,0.716356,0.800826,0.182690,0.114961,0.400009
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.181817,0.605338,0.712093,0.797772,0.181378,0.112075,0.397971
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.191918,0.606781,0.707977,0.794782,0.179942,0.109075,0.395801
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.202019,0.608382,0.703852,0.791404,0.178475,0.106244,0.393479
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.212121,0.609819,0.699804,0.787748,0.176922,0.103515,0.391202
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.222221,0.611449,0.695573,0.784076,0.175446,0.100727,0.388741
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.232322,0.612723,0.691385,0.780234,0.173903,0.097976,0.386449
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.242423,0.614076,0.687245,0.776241,0.172288,0.095251,0.384040
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.252525,0.615358,0.683194,0.772014,0.170569,0.092608,0.381617
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.262625,0.616574,0.679076,0.767540,0.168849,0.090062,0.379170
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.272726,0.617419,0.675000,0.762899,0.167051,0.087559,0.376910
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.282827,0.617950,0.670727,0.757845,0.165341,0.085273,0.374802
bcss,TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,0.292929,0.618600,0.666443,0.752684,0.163589,0.082998,0.372558
