tile,n_pixels,true_acc,mano_fro_norm,acc_st_true,acc_ta_true,acc_st_tdc,acc_ta_tdc,err_st_tdc,err_ta_tdc,acc_st_mm,acc_ta_mm,err_st_mm,err_ta_mm,est_ATC,err_ATC,err_ta_ATC,est_ATC-NE,err_ATC-NE,err_ta_ATC-NE,est_AC,err_AC,err_ta_AC,est_DOC,err_DOC,err_ta_DOC,est_COT,err_COT,err_ta_COT
TCGA-E2-A14N-DX1_xmin21383_ymin66838_MPP-0.2500.png.tensor,719510,0.561618,0.803176,0.561618,0.620091,0.837016,0.837053,0.275398,0.216962,0.809290,0.809290,0.247671,0.189198,0.855200,0.293582,0.235109,0.863382,0.301764,0.243291,0.841037,0.279419,0.220946,0.839724,0.278105,0.219632,0.998117,0.436498,0.378025
TCGA-E2-A14R-DX1_xmin7751_ymin59308_MPP-0.2500.png.tensor,122095,0.720054,0.647416,0.720054,0.775781,0.666299,0.737182,0.053755,0.038599,0.552985,0.566967,0.167069,0.208814,0.646235,0.073820,0.129547,0.632286,0.087768,0.143495,0.719865,0.000189,0.055916,0.718551,0.001503,0.057230,0.766573,0.046519,0.009208
TCGA-E2-A14X-DX1_xmin88836_ymin66393_MPP-0.2500.png.tensor,486087,0.897677,0.825564,0.897677,0.898199,0.866539,0.866539,0.031138,0.031660,0.741106,0.741106,0.156571,0.157094,0.893459,0.004217,0.004740,0.908595,0.010918,0.010395,0.860298,0.037379,0.037902,0.858984,0.038693,0.039215,0.991785,0.094109,0.093586
TCGA-E2-A150-DX1_xmin42083_ymin62113_MPP-0.2500.png.tensor,319521,0.713221,0.598167,0.713221,0.756811,0.730165,0.730171,0.016944,0.026640,0.619532,0.619532,0.093688,0.137279,0.675499,0.037722,0.081312,0.654955,0.058265,0.101856,0.692971,0.020250,0.063840,0.691657,0.021564,0.065154,0.949227,0.236006,0.192416
TCGA-E2-A158-DX1_xmin56083_ymin25872_MPP-0.2500.png.tensor,167525,0.819173,0.614773,0.819173,0.820206,0.591386,0.592838,0.227787,0.227368,0.598763,0.598763,0.220410,0.221443,0.738045,0.081128,0.082161,0.702385,0.116789,0.117821,0.708351,0.110822,0.111855,0.707037,0.112136,0.113168,0.867136,0.047962,0.046930
TCGA-E2-A159-DX1_xmin38620_ymin28700_MPP-0.2500.png.tensor,570418,0.734090,0.729327,0.734090,0.737058,0.791948,0.791954,0.057858,0.054896,0.736599,0.736599,0.002509,0.000459,0.759839,0.025750,0.022782,0.743891,0.009802,0.006834,0.782749,0.048660,0.045692,0.781436,0.047346,0.044378,0.995944,0.261854,0.258886
TCGA-E2-A1L7-DX1_xmin51554_ymin15424_MPP-0.2500.png.tensor,712679,0.531572,0.764329,0.531572,0.566795,0.770677,0.777801,0.239105,0.211006,0.809059,0.809059,0.277488,0.242264,0.847593,0.316022,0.280798,0.874012,0.342440,0.307217,0.812994,0.281422,0.246198,0.811680,0.280108,0.244885,0.996235,0.464663,0.429440
TCGA-E2-A1LH-DX1_xmin22770_ymin24149_MPP-0.2500.png.tensor,256405,0.453271,0.687055,0.453271,0.575562,0.696937,0.722431,0.243666,0.146869,0.672099,0.672099,0.218827,0.096536,0.764314,0.311043,0.188752,0.773483,0.320212,0.197921,0.755289,0.302018,0.179727,0.753975,0.300704,0.178413,0.972621,0.519349,0.397059
TCGA-E2-A1LI-DX1_xmin44715_ymin18434_MPP-0.2500.png.tensor,856270,0.556969,0.653782,0.556969,0.603121,0.770654,0.770693,0.213685,0.167573,0.680905,0.680905,0.123936,0.077785,0.748259,0.191290,0.145139,0.761129,0.204160,0.158009,0.732547,0.175578,0.129426,0.731233,0.174264,0.128113,0.994755,0.437786,0.391635
TCGA-E2-A1LL-DX1_xmin5783_ymin22777_MPP-0.2500.png.tensor,266285,0.808626,0.680945,0.808626,0.808637,0.746629,0.746632,0.061997,0.062005,0.707375,0.707375,0.101251,0.101263,0.779469,0.029157,0.029168,0.730593,0.078033,0.078044,0.754132,0.054494,0.054505,0.752818,0.055808,0.055819,0.927421,0.118795,0.118784
TCGA-E2-A1LS-DX1_xmin39247_ymin47756_MPP-0.2500.png.tensor,153870,0.850725,0.688621,0.850725,0.850783,0.686567,0.687558,0.164158,0.163225,0.707410,0.707410,0.143314,0.143373,0.822636,0.028089,0.028147,0.826438,0.024287,0.024345,0.761462,0.089263,0.089321,0.760148,0.090576,0.090635,0.903149,0.052425,0.052366
TCGA-E2-A573-DX1_xmin59666_ymin56141_MPP-0.2500.png.tensor,239337,0.465193,0.707196,0.465193,0.620201,0.780001,0.780009,0.314807,0.159808,0.724603,0.724603,0.259410,0.104402,0.761967,0.296774,0.141767,0.767579,0.302385,0.147378,0.767538,0.302345,0.147337,0.766224,0.301031,0.146023,0.933904,0.468711,0.313703
TCGA-E9-A5FL-DX1_xmin45595_ymin47283_MPP-0.2500.png.tensor,926382,0.440221,0.619928,0.440221,0.608905,0.699084,0.699090,0.258863,0.090185,0.644000,0.644000,0.203779,0.035095,0.707108,0.266887,0.098203,0.694427,0.254206,0.085522,0.708037,0.267816,0.099132,0.706724,0.266502,0.097818,0.994524,0.554303,0.385619
TCGA-EW-A1OV-DX1_xmin126026_ymin65132_MPP-0.2500.png.tensor,1393872,0.690641,0.749117,0.690641,0.692703,0.680224,0.680981,0.010417,0.011722,0.689528,0.689528,0.001113,0.003175,0.852558,0.161917,0.159855,0.899839,0.209199,0.207137,0.803718,0.113077,0.111015,0.802404,0.111763,0.109701,0.997582,0.306941,0.304879
TCGA-EW-A1OW-DX1_xmin36101_ymin49680_MPP-0.2500.png.tensor,1251181,0.581228,0.790569,0.581228,0.586079,0.810654,0.810724,0.229426,0.224645,0.796964,0.796964,0.215736,0.210885,0.874331,0.293102,0.288252,0.916226,0.334998,0.330147,0.833369,0.252140,0.247290,0.832055,0.250827,0.245976,0.998563,0.417335,0.412484
TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500.png.tensor,426754,0.774120,0.732941,0.774120,0.778099,0.700747,0.700752,0.073374,0.077347,0.714439,0.714439,0.059682,0.063661,0.832489,0.058369,0.054390,0.858345,0.084224,0.080245,0.791268,0.017147,0.013168,0.789954,0.015833,0.011855,0.989599,0.215479,0.211500
TCGA-EW-A1P4-DX1_xmin17256_ymin35430_MPP-0.2500.png.tensor,366681,0.728568,0.678881,0.728568,0.743355,0.611399,0.702605,0.117169,0.040749,0.626111,0.626111,0.102456,0.117243,0.726806,0.001762,0.016548,0.737540,0.008972,0.005814,0.747046,0.018478,0.003691,0.745732,0.017164,0.002377,0.992807,0.264239,0.249452
TCGA-EW-A1P7-DX1_xmin9808_ymin46395_MPP-0.2500.png.tensor,306743,0.876075,0.783005,0.876075,0.877451,0.799595,0.800442,0.076480,0.077009,0.683333,0.683333,0.192742,0.194118,0.877308,0.001232,0.000143,0.903760,0.027684,0.026309,0.829223,0.046853,0.048229,0.827909,0.048167,0.049542,0.990640,0.114564,0.113189
TCGA-EW-A1P8-DX1_xmin15520_ymin26381_MPP-0.2500.png.tensor,375336,0.448009,0.665542,0.448009,0.555508,0.739392,0.740185,0.291383,0.184678,0.623611,0.623611,0.175602,0.068103,0.736061,0.288051,0.180553,0.720472,0.272463,0.164964,0.740258,0.292249,0.184751,0.738944,0.290935,0.183437,0.985571,0.537562,0.430063
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500.png.tensor,346036,0.664038,0.723312,0.664038,0.682839,0.719751,0.738931,0.055713,0.056092,0.715696,0.715696,0.051658,0.032857,0.795865,0.131827,0.113026,0.810904,0.146866,0.128065,0.781734,0.117696,0.098895,0.780420,0.116382,0.097581,0.989150,0.325112,0.306311
TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500.png.tensor,766966,0.397512,0.627449,0.397512,0.650123,0.755350,0.755350,0.357838,0.105227,0.674595,0.674595,0.277084,0.024473,0.702504,0.304993,0.052382,0.697443,0.299931,0.047320,0.712841,0.315329,0.062718,0.711527,0.314015,0.061404,0.992630,0.595118,0.342508
TCGA-EW-A3U0-DX1_xmin113512_ymin48566_MPP-0.2500.png.tensor,91848,0.695377,0.537416,0.695377,0.726058,0.119410,0.880583,0.575967,0.154525,0.405631,0.594367,0.289746,0.131691,0.600862,0.094515,0.125196,0.525052,0.170325,0.201006,0.650530,0.044847,0.075528,0.649216,0.046161,0.076842,0.503273,0.192104,0.222786
TCGA-EW-A6SB-DX1_xmin34625_ymin56578_MPP-0.2500.png.tensor,698480,0.338438,0.683475,0.338438,0.664374,0.701295,0.718108,0.362857,0.053734,0.628028,0.628028,0.289591,0.036346,0.727806,0.389368,0.063432,0.701589,0.363151,0.037215,0.749780,0.411342,0.085406,0.748467,0.410029,0.084092,0.995628,0.657190,0.331254
TCGA-GI-A2C9-DX1_xmin20882_ymin11843_MPP-0.2500.png.tensor,157274,0.722859,0.744617,0.722859,0.734444,0.796468,0.797844,0.073608,0.063400,0.728364,0.728364,0.005504,0.006080,0.812665,0.089805,0.078220,0.843903,0.121044,0.109459,0.796523,0.073663,0.062079,0.795209,0.072350,0.060765,0.753332,0.030472,0.018887
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500.png.tensor,1260230,0.541233,0.713436,0.541233,0.581776,0.737341,0.741352,0.196108,0.159577,0.679400,0.679400,0.138167,0.097625,0.777035,0.235802,0.195260,0.791508,0.250275,0.209732,0.773856,0.232623,0.192080,0.772542,0.231309,0.190766,0.997915,0.456682,0.416139
TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500.png.tensor,626126,0.902315,0.806950,0.902315,0.905120,0.823768,0.823769,0.078547,0.081351,0.800099,0.800099,0.102216,0.105021,0.881316,0.020999,0.023804,0.884127,0.018188,0.020993,0.845569,0.056747,0.059551,0.844255,0.058060,0.060865,0.994323,0.092008,0.089204
TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500.png.tensor,401351,0.598205,0.691847,0.598205,0.628901,0.718359,0.742013,0.120154,0.113112,0.668896,0.668896,0.070692,0.039995,0.783788,0.185583,0.154887,0.797825,0.199621,0.168924,0.760562,0.162357,0.131661,0.759248,0.161044,0.130347,0.985924,0.387720,0.357023
TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500.png.tensor,412319,0.438023,0.712183,0.438023,0.600470,0.709345,0.711527,0.271323,0.111058,0.585800,0.585800,0.147778,0.014669,0.769632,0.331610,0.169163,0.770704,0.332682,0.170235,0.771552,0.333530,0.171083,0.770239,0.332216,0.169769,0.992833,0.554811,0.392364
TCGA-GM-A2DI-DX1_xmin22802_ymin51060_MPP-0.2500.png.tensor,56522,0.607976,0.568431,0.607976,0.620696,0.577455,0.577502,0.030521,0.043194,0.573895,0.573895,0.034081,0.046801,0.607604,0.000372,0.013092,0.662822,0.054846,0.042125,0.666465,0.058490,0.045769,0.665152,0.057176,0.044455,0.487393,0.120582,0.133303
TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500.png.tensor,610061,0.549217,0.796018,0.549217,0.628672,0.836949,0.837119,0.287732,0.208447,0.711149,0.711149,0.161932,0.082478,0.831209,0.281991,0.202537,0.808995,0.259777,0.180323,0.834530,0.285313,0.205858,0.833216,0.283999,0.204545,0.998331,0.449114,0.369659
TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500.png.tensor,93606,0.506688,0.509882,0.506688,0.562603,0.522703,0.632942,0.016015,0.070339,0.559346,0.569374,0.052658,0.006771,0.556375,0.049687,0.006228,0.472074,0.034613,0.090528,0.630299,0.123611,0.067696,0.628985,0.122298,0.066383,0.620052,0.113365,0.057449
