metric,method,type,mean,std
True ACC_ST,True,ST,0.619613,0.159265
True ACC_TA,True,TA,0.689512,0.099830
ENGPE est ACC_ST,ENGPE,ST,0.722519,0.118717
ENGPE est ACC_TA,ENGPE,TA,0.750904,0.067028
ENGPE-TA est ACC_ST,ENGPE-TA,ST,0.677658,0.075322
ENGPE-TA est ACC_TA,ENGPE-TA,TA,0.684641,0.063765
ATC est ACC,ATC,ST,0.761562,0.081908
ATC-NE est ACC,ATC-NE,ST,0.763234,0.101556
AC est ACC,AC,ST,0.760599,0.055115
DOC est ACC,DOC,ST,0.759286,0.055115
COT est ACC,COT,ST,0.904826,0.147233
MAE ENGPE vs ACC_ST,ENGPE,ST,0.178493,0.144202
MAE ENGPE vs ACC_TA,ENGPE,TA,0.107338,0.069986
MAE ENGPE-TA vs ACC_ST,ENGPE-TA,ST,0.147746,0.089820
MAE ENGPE-TA vs ACC_TA,ENGPE-TA,TA,0.084651,0.066984
MAE ATC vs ACC_ST,ATC,ST,0.166377,0.137152
MAE ATC vs ACC_TA,ATC,TA,0.105470,0.081632
MAE ATC-NE vs ACC_ST,ATC-NE,ST,0.178332,0.136073
MAE ATC-NE vs ACC_TA,ATC-NE,TA,0.119452,0.086639
MAE AC vs ACC_ST,AC,ST,0.166899,0.133530
MAE AC vs ACC_TA,AC,TA,0.103931,0.070561
MAE DOC vs ACC_ST,DOC,ST,0.166302,0.132893
MAE DOC vs ACC_TA,DOC,TA,0.103394,0.070038
MAE COT vs ACC_ST,COT,ST,0.321361,0.192086
MAE COT vs ACC_TA,COT,TA,0.254722,0.130774
MANO est ACC (Frobenius norm),MANO,ST,0.693543,0.075341
MAE MANO vs ACC_ST,MANO,ST,0.151018,0.102614
