method,type,mean_est,mean_true,mean_mae,std_mae
ENGPE,ST,0.616452,0.650743,0.069904,0.080618
ENGPE,TA,0.796639,0.767979,0.050222,0.061983
ENGPE-TA,ST,0.658714,0.650743,0.048144,0.046870
ENGPE-TA,TA,0.750745,0.767979,0.041980,0.039274
ATC,ST,0.823077,0.650743,0.172334,0.098871
ATC,TA,0.823077,0.767979,0.072040,0.042788
ATC-NE,ST,0.773358,0.650743,0.122615,0.077404
ATC-NE,TA,0.773358,0.767979,0.061503,0.057437
AC,ST,0.880031,0.650743,0.229289,0.125521
AC,TA,0.880031,0.767979,0.113799,0.046906
DOC,ST,0.879583,0.650743,0.228840,0.125521
DOC,TA,0.879583,0.767979,0.113364,0.046889
COT,ST,0.784065,0.650743,0.133323,0.057403
COT,TA,0.784065,0.767979,0.079303,0.072942
