dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity30,val_source,0.000000,0.969200,0.994019,0.996286,0.005981,0.003714,0.030800
breeds,entity30,val_source,0.010100,0.969700,0.986572,0.989209,0.004702,0.002225,0.025750
breeds,entity30,val_source,0.020200,0.968200,0.978350,0.980513,0.003793,0.001531,0.021637
breeds,entity30,val_source,0.030300,0.962900,0.969642,0.971221,0.003114,0.001131,0.019387
breeds,entity30,val_source,0.040400,0.958000,0.960535,0.961713,0.002630,0.000834,0.016880
breeds,entity30,val_source,0.050500,0.951500,0.951131,0.952016,0.002291,0.000631,0.015166
breeds,entity30,val_source,0.060600,0.944800,0.941601,0.942514,0.002012,0.000319,0.013518
breeds,entity30,val_source,0.070700,0.935700,0.931948,0.932616,0.001794,0.000214,0.013127
breeds,entity30,val_source,0.080800,0.926600,0.922200,0.922520,0.001622,0.000214,0.012699
breeds,entity30,val_source,0.090900,0.918500,0.912326,0.912424,0.001516,0.000214,0.011762
breeds,entity30,val_source,0.101000,0.909800,0.902461,0.902329,0.001402,0.000214,0.011115
breeds,entity30,val_source,0.111100,0.901500,0.892485,0.892233,0.001348,0.000214,0.010217
breeds,entity30,val_source,0.121200,0.892600,0.882647,0.882137,0.001215,0.000214,0.009672
breeds,entity30,val_source,0.131300,0.883500,0.872594,0.872042,0.001201,0.000214,0.009206
breeds,entity30,val_source,0.141400,0.874400,0.862608,0.861946,0.001149,0.000214,0.008723
breeds,entity30,val_source,0.151500,0.865300,0.852626,0.851850,0.001093,0.000214,0.008246
breeds,entity30,val_source,0.161600,0.856000,0.842649,0.841914,0.001033,0.000119,0.007845
breeds,entity30,val_source,0.171700,0.847100,0.832715,0.831817,0.000946,0.000119,0.007239
breeds,entity30,val_source,0.181800,0.837400,0.822759,0.821719,0.000870,0.000119,0.007070
breeds,entity30,val_source,0.191900,0.828100,0.812731,0.811622,0.000835,0.000119,0.006656
breeds,entity30,val_source,0.202000,0.818400,0.802682,0.801524,0.000814,0.000119,0.006513
breeds,entity30,val_source,0.212100,0.809300,0.792617,0.791614,0.000802,0.000000,0.005930
breeds,entity30,val_source,0.222200,0.799200,0.782534,0.781514,0.000802,0.000000,0.005930
breeds,entity30,val_source,0.232300,0.789900,0.772450,0.771414,0.000802,0.000000,0.005577
breeds,entity30,val_source,0.242400,0.780400,0.762504,0.761314,0.000711,0.000000,0.005264
breeds,entity30,val_source,0.252500,0.770300,0.752418,0.751214,0.000711,0.000000,0.005264
breeds,entity30,val_source,0.262600,0.760600,0.742414,0.741114,0.000656,0.000000,0.005152
breeds,entity30,val_source,0.272700,0.750700,0.732369,0.731014,0.000627,0.000000,0.005027
breeds,entity30,val_source,0.282800,0.740600,0.722429,0.720914,0.000525,0.000000,0.005027
breeds,entity30,val_source,0.292900,0.730700,0.712443,0.710814,0.000451,0.000000,0.005027
breeds,entity30,val_source,0.303000,0.720800,0.702352,0.700714,0.000451,0.000000,0.004991
breeds,entity30,val_source,0.313100,0.710700,0.692262,0.690614,0.000451,0.000000,0.004991
breeds,entity30,val_source,0.323200,0.700800,0.682268,0.680514,0.000379,0.000000,0.004962
breeds,entity30,val_source,0.333300,0.690700,0.672176,0.670414,0.000379,0.000000,0.004962
breeds,entity30,val_source,0.343400,0.680600,0.662083,0.660314,0.000379,0.000000,0.004962
breeds,entity30,val_source,0.353500,0.670700,0.651991,0.650214,0.000379,0.000000,0.004962
breeds,entity30,val_source,0.363600,0.660600,0.641899,0.640114,0.000379,0.000000,0.004962
breeds,entity30,val_source,0.373700,0.650700,0.631806,0.630014,0.000379,0.000000,0.004962
breeds,entity30,val_source,0.383800,0.640800,0.621714,0.619914,0.000379,0.000000,0.004962
breeds,entity30,val_source,0.393900,0.630900,0.611650,0.609814,0.000356,0.000000,0.004913
breeds,entity30,val_source,0.404000,0.621200,0.601557,0.599714,0.000356,0.000000,0.004675
breeds,entity30,val_source,0.414100,0.611100,0.591465,0.589614,0.000356,0.000000,0.004675
breeds,entity30,val_source,0.424200,0.601400,0.581372,0.579514,0.000356,0.000000,0.004511
breeds,entity30,val_source,0.434300,0.591500,0.571279,0.569414,0.000356,0.000000,0.004397
breeds,entity30,val_source,0.444400,0.581400,0.561186,0.559314,0.000356,0.000000,0.004397
breeds,entity30,val_source,0.454500,0.571700,0.551093,0.549214,0.000356,0.000000,0.004208
breeds,entity30,val_source,0.464600,0.561800,0.541040,0.539114,0.000319,0.000000,0.004049
breeds,entity30,val_source,0.474700,0.551700,0.530946,0.529014,0.000319,0.000000,0.004049
breeds,entity30,val_source,0.484800,0.541600,0.520935,0.518914,0.000239,0.000000,0.004049
breeds,entity30,val_source,0.494900,0.531500,0.510840,0.508814,0.000239,0.000000,0.004049
breeds,entity30,val_source,0.505000,0.521800,0.500745,0.498714,0.000239,0.000000,0.004034
breeds,entity30,val_source,0.515100,0.511700,0.490650,0.488614,0.000239,0.000000,0.004034
breeds,entity30,val_source,0.525200,0.501800,0.480554,0.478514,0.000239,0.000000,0.003929
breeds,entity30,val_source,0.535300,0.491900,0.470459,0.468414,0.000239,0.000000,0.003810
breeds,entity30,val_source,0.545400,0.481800,0.460364,0.458314,0.000239,0.000000,0.003810
breeds,entity30,val_source,0.555500,0.471900,0.450269,0.448214,0.000239,0.000000,0.003763
breeds,entity30,val_source,0.565600,0.461800,0.440174,0.438114,0.000239,0.000000,0.003763
breeds,entity30,val_source,0.575700,0.451900,0.430079,0.428014,0.000239,0.000000,0.003754
breeds,entity30,val_source,0.585800,0.442000,0.419983,0.417914,0.000239,0.000000,0.003605
breeds,entity30,val_source,0.595900,0.431900,0.409888,0.407814,0.000239,0.000000,0.003605
breeds,entity30,val_source,0.606000,0.421800,0.399793,0.397714,0.000239,0.000000,0.003605
breeds,entity30,val_source,0.616100,0.411900,0.389755,0.387614,0.000164,0.000000,0.003598
breeds,entity30,val_source,0.626200,0.402000,0.379659,0.377514,0.000164,0.000000,0.003442
breeds,entity30,val_source,0.636300,0.391900,0.369681,0.367414,0.000000,0.000000,0.003442
breeds,entity30,val_source,0.646400,0.381800,0.359581,0.357314,0.000000,0.000000,0.003442
breeds,entity30,val_source,0.656500,0.371900,0.349481,0.347214,0.000000,0.000000,0.003408
breeds,entity30,val_source,0.666600,0.362000,0.339381,0.337114,0.000000,0.000000,0.003272
breeds,entity30,val_source,0.676700,0.351900,0.329281,0.327014,0.000000,0.000000,0.003272
breeds,entity30,val_source,0.686800,0.341800,0.319181,0.316914,0.000000,0.000000,0.003272
breeds,entity30,val_source,0.696900,0.331900,0.309081,0.306814,0.000000,0.000000,0.003196
breeds,entity30,val_source,0.707000,0.321800,0.298981,0.296714,0.000000,0.000000,0.003196
breeds,entity30,val_source,0.717100,0.311700,0.288881,0.286614,0.000000,0.000000,0.003196
breeds,entity30,val_source,0.727200,0.301800,0.278781,0.276514,0.000000,0.000000,0.003196
breeds,entity30,val_source,0.737300,0.291700,0.268681,0.266414,0.000000,0.000000,0.003196
breeds,entity30,val_source,0.747400,0.281800,0.258581,0.256314,0.000000,0.000000,0.003142
breeds,entity30,val_source,0.757500,0.271900,0.248481,0.246214,0.000000,0.000000,0.002842
