metric,method,type,mean_est,std_est,mean_true,std_true,mean_mae,std_mae
Est ACC (ST),ENGPE,ST,0.931823,0.044031,0.594575,0.193763,0.337247,0.155455
Est ACC (TA),ENGPE,TA,0.933050,0.041447,0.768761,0.068850,0.165654,0.057598
Est ACC (ST),ENGPE-TA,ST,0.791365,0.129401,0.594575,0.193763,0.196790,0.074863
Est ACC (TA),ENGPE-TA,TA,0.848131,0.065558,0.768761,0.068850,0.082245,0.035732
Est ACC (ST),ATC,ST,0.794079,0.105108,0.594575,0.193763,0.199504,0.097855
Est ACC (TA),ATC,TA,0.794079,0.105108,0.768761,0.068850,0.071418,0.052381
Est ACC (ST),ATC-NE,ST,0.787606,0.117068,0.594575,0.193763,0.193030,0.090734
Est ACC (TA),ATC-NE,TA,0.787606,0.117068,0.768761,0.068850,0.077563,0.060813
Est ACC (ST),AC,ST,0.891952,0.055188,0.594575,0.193763,0.297377,0.141956
Est ACC (TA),AC,TA,0.891952,0.055188,0.768761,0.068850,0.126319,0.050427
Est ACC (ST),DOC,ST,0.891928,0.055188,0.594575,0.193763,0.297352,0.141956
Est ACC (TA),DOC,TA,0.891928,0.055188,0.768761,0.068850,0.126296,0.050424
Est ACC (ST),COT,ST,0.785057,0.126088,0.594575,0.193763,0.190481,0.083108
Est ACC (TA),COT,TA,0.785057,0.126088,0.768761,0.068850,0.085217,0.069514
Est ACC (MANO Frobenius),MANO,ST,0.829479,0.086435,0.594575,0.193763,0.234904,0.113974
