dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,living17,val_source,0.000000,0.990400,0.999535,0.999700,0.000465,0.000300,0.009600
breeds,living17,val_source,0.010100,0.987500,0.990201,0.990200,0.000083,0.000000,0.006061
breeds,living17,val_source,0.020200,0.980200,0.980191,0.980100,0.000038,0.000000,0.004691
breeds,living17,val_source,0.030300,0.970900,0.970096,0.970000,0.000035,0.000000,0.004309
breeds,living17,val_source,0.040400,0.961400,0.960021,0.959900,0.000023,0.000000,0.004041
breeds,living17,val_source,0.050500,0.951900,0.949922,0.949800,0.000023,0.000000,0.003787
breeds,living17,val_source,0.060600,0.943000,0.939822,0.939700,0.000023,0.000000,0.003190
breeds,living17,val_source,0.070700,0.933300,0.929723,0.929600,0.000023,0.000000,0.002990
breeds,living17,val_source,0.080800,0.923800,0.919636,0.919500,0.000015,0.000000,0.002706
breeds,living17,val_source,0.090900,0.914500,0.909537,0.909400,0.000015,0.000000,0.002302
breeds,living17,val_source,0.101000,0.904600,0.899437,0.899300,0.000015,0.000000,0.002216
breeds,living17,val_source,0.111100,0.894700,0.889337,0.889200,0.000015,0.000000,0.002120
breeds,living17,val_source,0.121200,0.884600,0.879238,0.879100,0.000015,0.000000,0.002120
breeds,living17,val_source,0.131300,0.874700,0.869138,0.869000,0.000015,0.000000,0.002048
breeds,living17,val_source,0.141400,0.865000,0.859038,0.858900,0.000015,0.000000,0.001863
breeds,living17,val_source,0.151500,0.854900,0.848965,0.848800,0.000000,0.000000,0.001863
breeds,living17,val_source,0.161600,0.845200,0.838865,0.838700,0.000000,0.000000,0.001666
breeds,living17,val_source,0.171700,0.835500,0.828765,0.828600,0.000000,0.000000,0.001446
breeds,living17,val_source,0.181800,0.825400,0.818665,0.818500,0.000000,0.000000,0.001446
breeds,living17,val_source,0.191900,0.815300,0.808565,0.808400,0.000000,0.000000,0.001446
breeds,living17,val_source,0.202000,0.805200,0.798465,0.798300,0.000000,0.000000,0.001446
breeds,living17,val_source,0.212100,0.795100,0.788365,0.788200,0.000000,0.000000,0.001446
breeds,living17,val_source,0.222200,0.785000,0.778265,0.778100,0.000000,0.000000,0.001446
breeds,living17,val_source,0.232300,0.775100,0.768165,0.768000,0.000000,0.000000,0.001431
breeds,living17,val_source,0.242400,0.765200,0.758065,0.757900,0.000000,0.000000,0.001320
breeds,living17,val_source,0.252500,0.755100,0.747965,0.747800,0.000000,0.000000,0.001320
breeds,living17,val_source,0.262600,0.745000,0.737865,0.737700,0.000000,0.000000,0.001320
breeds,living17,val_source,0.272700,0.735100,0.727765,0.727600,0.000000,0.000000,0.001227
breeds,living17,val_source,0.282800,0.725400,0.717665,0.717500,0.000000,0.000000,0.000970
breeds,living17,val_source,0.292900,0.715300,0.707565,0.707400,0.000000,0.000000,0.000970
breeds,living17,val_source,0.303000,0.705200,0.697465,0.697300,0.000000,0.000000,0.000970
breeds,living17,val_source,0.313100,0.695100,0.687365,0.687200,0.000000,0.000000,0.000970
breeds,living17,val_source,0.323200,0.685200,0.677265,0.677100,0.000000,0.000000,0.000877
breeds,living17,val_source,0.333300,0.675100,0.667165,0.667000,0.000000,0.000000,0.000877
breeds,living17,val_source,0.343400,0.665000,0.657065,0.656900,0.000000,0.000000,0.000877
breeds,living17,val_source,0.353500,0.654900,0.646965,0.646800,0.000000,0.000000,0.000877
breeds,living17,val_source,0.363600,0.644800,0.636865,0.636700,0.000000,0.000000,0.000877
breeds,living17,val_source,0.373700,0.634900,0.626765,0.626600,0.000000,0.000000,0.000793
breeds,living17,val_source,0.383800,0.624800,0.616665,0.616500,0.000000,0.000000,0.000793
breeds,living17,val_source,0.393900,0.614700,0.606565,0.606400,0.000000,0.000000,0.000793
breeds,living17,val_source,0.404000,0.604800,0.596465,0.596300,0.000000,0.000000,0.000670
breeds,living17,val_source,0.414100,0.594700,0.586365,0.586200,0.000000,0.000000,0.000670
breeds,living17,val_source,0.424200,0.584600,0.576265,0.576100,0.000000,0.000000,0.000670
breeds,living17,val_source,0.434300,0.574500,0.566165,0.566000,0.000000,0.000000,0.000670
breeds,living17,val_source,0.444400,0.564400,0.556065,0.555900,0.000000,0.000000,0.000670
breeds,living17,val_source,0.454500,0.554300,0.545965,0.545800,0.000000,0.000000,0.000670
breeds,living17,val_source,0.464600,0.544200,0.535865,0.535700,0.000000,0.000000,0.000670
