testset,testset_idx,n_samples,is_source,is_target,is_clean,true_acc,acc_st_true,acc_ta_true,acc_st_tdc,acc_ta_tdc,err_st_tdc,err_ta_tdc,acc_st_mm,acc_ta_mm,err_st_mm,err_ta_mm,mano_fro_norm,est_ATC,err_ATC,err_ta_ATC,est_ATC-NE,err_ATC-NE,err_ta_ATC-NE,est_AC,err_AC,err_ta_AC,est_DOC,err_DOC,err_ta_DOC,est_COT,err_COT,err_ta_COT
val_source,0,10000,True,False,True,0.9904,0.9904,0.9905,0.999699909972992,0.999699909972992,0.009299909972992015,0.009199909972991915,0.9995353092941763,0.9995353092941763,0.009135309294176386,0.009035309294176286,0.9931502441350186,0.9791999459266663,0.011200054073333687,0.011300054073333787,0.9784999489784241,0.011900051021575875,0.012000051021575975,0.9950456619262695,0.004645661926269584,0.004545661926269484,0.9950388669967651,0.00463886699676519,0.00453886699676509,0.9819156702619167,0.008484329738083218,0.008584329738083318
val_target,1,44017,False,True,True,0.8251811799986369,0.8251811799986369,0.82865710975305,0.9955960204454181,0.9955960204454181,0.17041484044678112,0.1669389106923681,0.9847671280456236,0.9847671280456236,0.15958594804698667,0.15611001829257365,0.9422570033815825,0.8269305229187012,0.001749342920064234,0.0017265868343487867,0.8182747960090637,0.006906383989573217,0.010382313743986238,0.9548120498657227,0.12963086986708572,0.1261549401126727,0.9548052549362183,0.12962407493758132,0.1261481451831683,0.9070206928908724,0.08183951289223546,0.07836358313782243
imagenet_val_source,2,1700,True,False,True,0.9847058823529412,0.9847058823529412,0.9858823529411764,0.9988221436984688,0.9988221436984688,0.01411626134552757,0.012939790757292347,0.9986481245794376,0.9987296570613748,0.013942242226496426,0.01284730412019841,0.9891610305884211,0.9711764454841614,0.013529436868779832,0.014705907457015055,0.9688234925270081,0.015882389825933152,0.017058860414168375,0.9921097755432129,0.007403893190271682,0.006227422602036459,0.9921029806137085,0.0073970982607672875,0.006220627672532064,0.9885622718431005,0.0038563894901593176,0.0026799189019240943
imagenet_val_target,3,1700,False,True,True,0.8141176470588235,0.8141176470588235,0.8305882352941176,0.9946777054997042,0.9946777054997042,0.18056005844088074,0.16408947020558662,0.9821115132301765,0.9822111593404449,0.16799386617135303,0.15162292404632727,0.9350515692874252,0.8041176199913025,0.010000027067521011,0.026470615302815137,0.794705867767334,0.019411779291489517,0.03588236752678364,0.9481661915779114,0.13404854451908788,0.11757795628379375,0.948159396648407,0.13404174958958348,0.11757116135428936,0.9031261731530906,0.08900852609426713,0.072537937858973
corr_source_fog_sev1,4,1700,True,False,False,0.9252941176470588,0.9252941176470588,0.9341176470588235,0.992294013040901,0.9928996826946547,0.06699989539384221,0.058782035635831176,0.9843739071702237,0.9843739071702237,0.05907978952316484,0.050256260111400164,0.9579210235664014,0.8776470422744751,0.047647075372583725,0.0564706047843484,0.8705881834030151,0.054705934244043686,0.06352946365580836,0.9666751027107239,0.041380985063665054,0.03255745565190038,0.9666683077812195,0.04137419013416066,0.032550660722395985,0.9506220697619432,0.025327952114884367,0.016504422703119692
corr_source_fog_sev2,5,1700,True,False,False,0.8994117647058824,0.8994117647058824,0.9170588235294118,0.9910979228486647,0.9917251873930567,0.09168615814278236,0.07466636386364489,0.9781703636306156,0.9801674792396569,0.07875859892473325,0.06310865571024504,0.9471012321891321,0.8505882024765015,0.04882356222938089,0.06647062105291035,0.8441176414489746,0.055294123256907746,0.0729411820804372,0.959530234336853,0.06011846963097067,0.04247141080744121,0.9595234394073486,0.06011167470146628,0.04246461587793682,0.9378495910766387,0.03843782637075632,0.020790767547226863
corr_source_fog_sev3,6,1700,True,False,False,0.86,0.86,0.8782352941176471,0.9838613269575612,0.9838613269575612,0.12386132695756125,0.10562603283991412,0.9574681031947913,0.9611109183534923,0.09746810319479127,0.08287562423584516,0.916174769729952,0.7599999904632568,0.10000000953674315,0.11823530365439028,0.7499999403953552,0.11000005960464476,0.1282353537222919,0.9342940449714661,0.07429404497146608,0.05605875085381895,0.9342872500419617,0.07428725004196168,0.056051955924314556,0.9046395483934949,0.04463954839349493,0.026404254275847805
corr_source_fog_sev4,7,1700,True,False,False,0.8158823529411765,0.8158823529411765,0.8476470588235294,0.9850746268656716,0.9850746268656716,0.1691922739244951,0.13742756804214218,0.9436167593570738,0.9453311048991774,0.12773440641589728,0.09768404607564796,0.8972449595218079,0.7270587682723999,0.0888235846687766,0.12058829055112952,0.7147058248519897,0.10117652808918676,0.13294123397153967,0.9170853495597839,0.10120299661860743,0.06943829073625452,0.9170785546302795,0.10119620168910304,0.06943149580675012,0.8679039859784402,0.052021633037263704,0.020256927154910787
corr_source_fog_sev5,8,1700,True,False,False,0.6794117647058824,0.6794117647058824,0.7952941176470588,0.9777510523150932,0.9777510523150932,0.2983392876092108,0.18245693466803437,0.8870676249731235,0.9014707599265291,0.20765586026724114,0.10617664227947032,0.8370546635825562,0.5817646980285645,0.09764706667731793,0.21352941961849436,0.5605882406234741,0.11882352408240826,0.2347058770235847,0.8712081909179688,0.19179642621208637,0.07591407327090993,0.8712013959884644,0.19178963128258197,0.07590727834140554,0.7581469990866392,0.0787352343807568,0.037147118560419634
corr_source_frost_sev1,9,1700,True,False,False,0.9335294117647058,0.9335294117647058,0.9388235294117647,0.9964580873671782,0.9964580873671782,0.0629286756024724,0.0576345579554135,0.9848714951343607,0.9848714951343607,0.051342083369654845,0.04604796572259595,0.9603955460823991,0.8917646408081055,0.04176477095660036,0.047058888603659255,0.8852940797805786,0.04823533198412722,0.05352944963118611,0.9686664938926697,0.03513708212796385,0.029842964480904954,0.9686596989631653,0.03513028719845945,0.02983616955140056,0.9558166678372426,0.022287256072536787,0.016993138425477894
