metric,method,type,mean_est,std_est,mean_true,std_true,mean_mae,std_mae
Est ACC (ST),ENGPE,ST,0.935722,0.037057,0.557898,0.202090,0.377824,0.173567
Est ACC (TA),ENGPE,TA,0.936588,0.036181,0.761561,0.072631,0.176016,0.064485
Est ACC (ST),ENGPE-TA,ST,0.784329,0.111175,0.557898,0.202090,0.226431,0.100442
Est ACC (TA),ENGPE-TA,TA,0.834100,0.065958,0.761561,0.072631,0.081834,0.039707
Est ACC (ST),ATC,ST,0.767927,0.110777,0.557898,0.202090,0.210028,0.102440
Est ACC (TA),ATC,TA,0.767927,0.110777,0.761561,0.072631,0.075763,0.064011
Est ACC (ST),ATC-NE,ST,0.685530,0.147657,0.557898,0.202090,0.127631,0.073821
Est ACC (TA),ATC-NE,TA,0.685530,0.147657,0.761561,0.072631,0.095491,0.114598
Est ACC (ST),AC,ST,0.849770,0.068192,0.557898,0.202090,0.291871,0.138287
Est ACC (TA),AC,TA,0.849770,0.068192,0.761561,0.072631,0.101262,0.050111
Est ACC (ST),DOC,ST,0.849707,0.068192,0.557898,0.202090,0.291809,0.138287
Est ACC (TA),DOC,TA,0.849707,0.068192,0.761561,0.072631,0.101211,0.050103
Est ACC (ST),COT,ST,0.744295,0.134584,0.557898,0.202090,0.186397,0.090315
Est ACC (TA),COT,TA,0.744295,0.134584,0.761561,0.072631,0.089848,0.092903
Est ACC (MANO Frobenius),MANO,ST,0.793663,0.094007,0.557898,0.202090,0.235764,0.115269
