dataset,corruption,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
cifar10c,gaussian_noise,0.000000,0.435980,0.275376,0.446433,0.724624,0.553567,0.564020
cifar10c,gaussian_noise,0.010100,0.442880,0.282982,0.464458,0.723074,0.545009,0.561174
cifar10c,gaussian_noise,0.020200,0.450340,0.290593,0.478534,0.721490,0.538290,0.558012
cifar10c,gaussian_noise,0.030300,0.457400,0.301769,0.492306,0.718034,0.531588,0.554964
cifar10c,gaussian_noise,0.040400,0.464500,0.310474,0.505280,0.715793,0.525160,0.551855
cifar10c,gaussian_noise,0.050500,0.470440,0.321731,0.515568,0.712160,0.520010,0.549279
cifar10c,gaussian_noise,0.060600,0.476420,0.330942,0.525972,0.709539,0.514687,0.546626
cifar10c,gaussian_noise,0.070700,0.482400,0.339710,0.534873,0.707099,0.510058,0.543903
cifar10c,gaussian_noise,0.080800,0.488700,0.350860,0.543118,0.703309,0.505684,0.540970
cifar10c,gaussian_noise,0.090900,0.495120,0.359912,0.550413,0.700590,0.501734,0.537883
cifar10c,gaussian_noise,0.101000,0.500900,0.370369,0.557461,0.697027,0.497834,0.535094
cifar10c,gaussian_noise,0.111100,0.507120,0.380057,0.565096,0.693817,0.493515,0.532002
cifar10c,gaussian_noise,0.121200,0.512300,0.389419,0.571800,0.690717,0.489626,0.529425
cifar10c,gaussian_noise,0.131300,0.518080,0.399813,0.580580,0.686952,0.484452,0.526430
cifar10c,gaussian_noise,0.141400,0.524060,0.410260,0.586793,0.683068,0.480651,0.523269
cifar10c,gaussian_noise,0.151500,0.529520,0.421066,0.591599,0.678879,0.477589,0.520318
cifar10c,gaussian_noise,0.161600,0.534940,0.429876,0.596781,0.675780,0.474228,0.517341
cifar10c,gaussian_noise,0.171700,0.540600,0.442891,0.600972,0.670067,0.471384,0.514137
cifar10c,gaussian_noise,0.181800,0.545620,0.454302,0.606548,0.665193,0.467623,0.511244
cifar10c,gaussian_noise,0.191900,0.550640,0.466050,0.611232,0.659989,0.464321,0.508240
cifar10c,gaussian_noise,0.202000,0.556540,0.476011,0.614808,0.655772,0.461629,0.504687
cifar10c,gaussian_noise,0.212100,0.561000,0.486914,0.619872,0.650850,0.457923,0.501916
cifar10c,gaussian_noise,0.222200,0.566580,0.497217,0.625582,0.646186,0.453706,0.498342
cifar10c,gaussian_noise,0.232300,0.572000,0.507049,0.629629,0.641705,0.450461,0.494803
cifar10c,gaussian_noise,0.242400,0.577180,0.515866,0.633177,0.637776,0.447459,0.491302
cifar10c,gaussian_noise,0.252520,0.581940,0.524863,0.637262,0.633623,0.444015,0.488001
cifar10c,gaussian_noise,0.262620,0.586160,0.534084,0.640935,0.629201,0.440758,0.484987
cifar10c,gaussian_noise,0.272720,0.590980,0.544872,0.644750,0.623578,0.437312,0.481465
cifar10c,gaussian_noise,0.282820,0.595760,0.554239,0.647855,0.618788,0.434265,0.477872
cifar10c,gaussian_noise,0.292920,0.600340,0.564860,0.651570,0.612974,0.430699,0.474317
cifar10c,gaussian_noise,0.303020,0.605280,0.574420,0.654090,0.607753,0.427887,0.470401
cifar10c,gaussian_noise,0.313120,0.610420,0.582537,0.657187,0.603429,0.424572,0.466212
cifar10c,gaussian_noise,0.323220,0.614360,0.590232,0.659703,0.599288,0.421588,0.462809
cifar10c,gaussian_noise,0.333320,0.618580,0.599148,0.664609,0.594105,0.416720,0.459081
cifar10c,gaussian_noise,0.343420,0.622640,0.608408,0.668088,0.588501,0.412790,0.455346
cifar10c,gaussian_noise,0.353520,0.626980,0.617704,0.670013,0.582694,0.409938,0.451306
cifar10c,gaussian_noise,0.363620,0.631760,0.627486,0.672236,0.576320,0.406762,0.446777
cifar10c,gaussian_noise,0.373720,0.636100,0.635958,0.674356,0.570788,0.403566,0.442454
cifar10c,gaussian_noise,0.383820,0.640400,0.643947,0.675683,0.565465,0.400909,0.438021
cifar10c,gaussian_noise,0.393920,0.644140,0.653252,0.678013,0.558880,0.397335,0.433889
cifar10c,gaussian_noise,0.404020,0.648600,0.660047,0.679644,0.554177,0.394227,0.429041
cifar10c,gaussian_noise,0.414120,0.652660,0.668590,0.681014,0.547820,0.391234,0.424353
cifar10c,gaussian_noise,0.424220,0.656760,0.677569,0.682844,0.540862,0.387737,0.419466
cifar10c,gaussian_noise,0.434320,0.660220,0.685380,0.684091,0.534687,0.384630,0.414970
cifar10c,gaussian_noise,0.444420,0.664520,0.692010,0.685372,0.529351,0.381381,0.409510
cifar10c,gaussian_noise,0.454520,0.667620,0.699590,0.687158,0.522947,0.377547,0.405022
cifar10c,gaussian_noise,0.464620,0.670680,0.704950,0.688037,0.518374,0.374416,0.400374
cifar10c,gaussian_noise,0.474720,0.674140,0.710457,0.688452,0.513486,0.371606,0.395150
cifar10c,gaussian_noise,0.484820,0.677080,0.715964,0.688815,0.508404,0.368737,0.390271
cifar10c,gaussian_noise,0.494920,0.680300,0.721579,0.688967,0.503014,0.365962,0.384874
cifar10c,gaussian_noise,0.505040,0.683380,0.729434,0.689636,0.495141,0.362545,0.379425
cifar10c,gaussian_noise,0.515140,0.686200,0.734084,0.690271,0.490244,0.359028,0.374005
cifar10c,gaussian_noise,0.525240,0.689620,0.740997,0.690181,0.482757,0.356123,0.367723
cifar10c,gaussian_noise,0.535340,0.692440,0.744328,0.688744,0.478798,0.354542,0.361813
cifar10c,gaussian_noise,0.545440,0.695340,0.748437,0.687852,0.473806,0.352292,0.355553
cifar10c,gaussian_noise,0.555540,0.698200,0.752811,0.688326,0.468291,0.348401,0.349053
cifar10c,gaussian_noise,0.565640,0.700420,0.755500,0.687752,0.464457,0.345537,0.342972
cifar10c,gaussian_noise,0.575740,0.701880,0.760290,0.686852,0.457967,0.342920,0.337497
cifar10c,gaussian_noise,0.585840,0.704460,0.764226,0.686408,0.452190,0.339626,0.330452
cifar10c,gaussian_noise,0.595940,0.706720,0.767033,0.684776,0.447522,0.337637,0.323417
cifar10c,gaussian_noise,0.606040,0.708020,0.769624,0.682983,0.442888,0.335750,0.317240
cifar10c,gaussian_noise,0.616140,0.709600,0.772752,0.681963,0.437311,0.332756,0.310361
cifar10c,gaussian_noise,0.626240,0.711100,0.776363,0.681025,0.430786,0.329492,0.303243
cifar10c,gaussian_noise,0.636340,0.711400,0.778120,0.680495,0.426447,0.325485,0.297345
cifar10c,gaussian_noise,0.646440,0.712060,0.781057,0.679421,0.420193,0.322019,0.290602
cifar10c,gaussian_noise,0.656540,0.712720,0.782241,0.678033,0.416123,0.318806,0.283526
cifar10c,gaussian_noise,0.666640,0.714380,0.784129,0.676162,0.410750,0.316122,0.274445
cifar10c,gaussian_noise,0.676740,0.714640,0.786728,0.673754,0.403941,0.314102,0.267030
cifar10c,gaussian_noise,0.686840,0.714980,0.788503,0.670755,0.398009,0.312895,0.258890
cifar10c,gaussian_noise,0.696940,0.714720,0.791216,0.669335,0.390134,0.309001,0.251303
cifar10c,gaussian_noise,0.707040,0.714660,0.792286,0.667195,0.384519,0.306070,0.242900
cifar10c,gaussian_noise,0.717140,0.714560,0.793422,0.664815,0.378388,0.303351,0.233897
cifar10c,gaussian_noise,0.727240,0.713340,0.793913,0.661515,0.372985,0.302120,0.226263
cifar10c,gaussian_noise,0.737340,0.712360,0.793669,0.658979,0.368567,0.299337,0.217620
cifar10c,gaussian_noise,0.747440,0.711060,0.795391,0.656892,0.359900,0.295445,0.208884
cifar10c,gaussian_noise,0.757560,0.709780,0.793942,0.653895,0.357041,0.293087,0.199390
cifar10c,gaussian_noise,0.767660,0.708200,0.793490,0.650470,0.351799,0.291464,0.189722
cifar10c,gaussian_noise,0.777760,0.706100,0.792601,0.646414,0.347064,0.291110,0.180346
cifar10c,gaussian_noise,0.787860,0.703680,0.791586,0.643461,0.342174,0.288125,0.170814
cifar10c,gaussian_noise,0.797960,0.700940,0.790516,0.641290,0.336933,0.282907,0.161092
cifar10c,gaussian_noise,0.808060,0.697880,0.788647,0.638671,0.333220,0.278306,0.151250
cifar10c,gaussian_noise,0.818160,0.694460,0.787099,0.634498,0.328214,0.277466,0.141241
cifar10c,gaussian_noise,0.828260,0.690440,0.786166,0.631075,0.320827,0.274345,0.131913
cifar10c,gaussian_noise,0.838360,0.685740,0.786169,0.626517,0.309622,0.274345,0.123454
cifar10c,gaussian_noise,0.848460,0.680480,0.782959,0.621958,0.307525,0.274345,0.115730
cifar10c,gaussian_noise,0.858560,0.674660,0.780187,0.617400,0.303582,0.274345,0.108812
cifar10c,gaussian_noise,0.868660,0.669000,0.776676,0.613146,0.301841,0.273189,0.100320
cifar10c,gaussian_noise,0.878760,0.662780,0.773800,0.608649,0.297196,0.272837,0.092617
cifar10c,gaussian_noise,0.888860,0.655960,0.770791,0.604061,0.292302,0.272837,0.086346
cifar10c,gaussian_noise,0.898960,0.648660,0.766850,0.599472,0.291044,0.272837,0.081108
cifar10c,gaussian_noise,0.909060,0.641880,0.762629,0.594883,0.291044,0.272837,0.071884
cifar10c,gaussian_noise,0.919160,0.634380,0.758408,0.590295,0.291044,0.272837,0.064516
cifar10c,gaussian_noise,0.929260,0.626600,0.754187,0.585706,0.291044,0.272837,0.057497
cifar10c,gaussian_noise,0.939360,0.618420,0.749966,0.581117,0.291044,0.272837,0.050760
cifar10c,gaussian_noise,0.949460,0.610120,0.745745,0.576529,0.291044,0.272837,0.043684
cifar10c,gaussian_noise,0.959560,0.601180,0.741524,0.571940,0.291044,0.272837,0.039474
cifar10c,gaussian_noise,0.969660,0.592200,0.737303,0.567351,0.291044,0.272837,0.034987
cifar10c,gaussian_noise,0.979760,0.582860,0.733082,0.562763,0.291044,0.272837,0.033943
cifar10c,gaussian_noise,0.989860,0.573560,0.728862,0.558174,0.291044,0.272837,0.026398
cifar10c,gaussian_noise,0.999980,0.564040,0.724632,0.553576,0.291044,0.272837,0.000000
cifar10c,shot_noise,0.000000,0.553380,0.334072,0.513497,0.665928,0.486503,0.446620
cifar10c,shot_noise,0.010100,0.559960,0.338449,0.526953,0.665410,0.479568,0.442743
cifar10c,shot_noise,0.020200,0.566260,0.346345,0.539268,0.663086,0.473073,0.438947
cifar10c,shot_noise,0.030300,0.572360,0.354310,0.551497,0.660678,0.466487,0.435162
cifar10c,shot_noise,0.040400,0.577780,0.363377,0.561648,0.657644,0.460845,0.431659
cifar10c,shot_noise,0.050500,0.582640,0.374406,0.570529,0.653513,0.455752,0.428373
cifar10c,shot_noise,0.060600,0.588380,0.385291,0.579256,0.649370,0.450632,0.424548
cifar10c,shot_noise,0.070700,0.593840,0.393399,0.588654,0.646632,0.445039,0.420790
cifar10c,shot_noise,0.080800,0.599380,0.403102,0.596834,0.642965,0.439985,0.416906
cifar10c,shot_noise,0.090900,0.604560,0.413066,0.604180,0.639073,0.435278,0.413134
cifar10c,shot_noise,0.101000,0.610740,0.420483,0.611131,0.636510,0.430685,0.408721
cifar10c,shot_noise,0.111100,0.615760,0.431450,0.617872,0.631892,0.426105,0.404860
cifar10c,shot_noise,0.121200,0.620460,0.443095,0.624527,0.626783,0.421470,0.401092
cifar10c,shot_noise,0.131300,0.625640,0.452860,0.629056,0.622636,0.417950,0.396961
cifar10c,shot_noise,0.141400,0.630180,0.463618,0.634763,0.617814,0.413661,0.393105
cifar10c,shot_noise,0.151500,0.635000,0.473314,0.638647,0.613502,0.410345,0.388974
cifar10c,shot_noise,0.161600,0.639140,0.484607,0.643100,0.608135,0.406610,0.385168
cifar10c,shot_noise,0.171700,0.644240,0.493872,0.647910,0.603861,0.402567,0.380707
cifar10c,shot_noise,0.181800,0.648540,0.504742,0.651217,0.598501,0.399344,0.376607
cifar10c,shot_noise,0.191900,0.652520,0.512051,0.656202,0.595209,0.395001,0.372602
cifar10c,shot_noise,0.202000,0.655580,0.521015,0.659855,0.590797,0.391383,0.369054
cifar10c,shot_noise,0.212100,0.659920,0.530311,0.664335,0.586062,0.387148,0.364640
cifar10c,shot_noise,0.222200,0.663780,0.540274,0.668799,0.580775,0.382813,0.360383
cifar10c,shot_noise,0.232300,0.667520,0.549683,0.671794,0.575710,0.379320,0.356127
cifar10c,shot_noise,0.242400,0.671660,0.560416,0.675016,0.569636,0.375585,0.351478
cifar10c,shot_noise,0.252520,0.675540,0.569291,0.677782,0.564642,0.372050,0.346872
cifar10c,shot_noise,0.262620,0.678760,0.580540,0.680227,0.557899,0.368640,0.342591
cifar10c,shot_noise,0.272720,0.682420,0.589624,0.682270,0.552459,0.365411,0.337870
cifar10c,shot_noise,0.282820,0.685320,0.599073,0.683836,0.546609,0.362424,0.333575
cifar10c,shot_noise,0.292920,0.688620,0.607526,0.686919,0.541298,0.358279,0.328874
cifar10c,shot_noise,0.303020,0.691000,0.620149,0.689266,0.532841,0.354542,0.324669
cifar10c,shot_noise,0.313120,0.693620,0.629468,0.693168,0.526540,0.349562,0.320201
cifar10c,shot_noise,0.323220,0.696720,0.638155,0.695032,0.520519,0.345940,0.315219
cifar10c,shot_noise,0.333320,0.699460,0.646994,0.697890,0.514200,0.341462,0.310355
cifar10c,shot_noise,0.343420,0.702400,0.653934,0.699245,0.509134,0.337992,0.305199
cifar10c,shot_noise,0.353520,0.705140,0.660900,0.700786,0.503889,0.334269,0.300056
cifar10c,shot_noise,0.363620,0.706480,0.668281,0.702106,0.498151,0.330602,0.295820
cifar10c,shot_noise,0.373720,0.708380,0.677218,0.702802,0.490987,0.327314,0.291020
cifar10c,shot_noise,0.383820,0.710400,0.685591,0.705034,0.484045,0.322672,0.285946
cifar10c,shot_noise,0.393920,0.712060,0.695656,0.706373,0.475476,0.318613,0.281019
cifar10c,shot_noise,0.404020,0.713600,0.703939,0.707096,0.468110,0.314932,0.275997
cifar10c,shot_noise,0.414120,0.714780,0.709967,0.707309,0.462416,0.311560,0.271138
cifar10c,shot_noise,0.424220,0.715920,0.715770,0.709620,0.456718,0.306247,0.266116
cifar10c,shot_noise,0.434320,0.716820,0.723595,0.709324,0.449029,0.303050,0.261172
