corruption,true_acc,mano_fro_norm,acc_st_true,acc_ta_true,acc_st_tdc,acc_ta_tdc,err_st_tdc,err_ta_tdc,acc_st_mm,acc_ta_mm,err_st_mm,err_ta_mm,est_ATC,err_ATC,err_ta_ATC,est_ATC-NE,err_ATC-NE,err_ta_ATC-NE,est_AC,err_AC,err_ta_AC,est_DOC,err_DOC,err_ta_DOC,est_COT,err_COT,err_ta_COT
gaussian_noise,0.435980,0.540839,0.435980,0.715320,0.446433,0.690625,0.010453,0.024695,0.275376,0.795542,0.160604,0.080222,0.524500,0.088520,0.190820,0.510600,0.074620,0.204720,0.729062,0.293082,0.013742,0.709354,0.273374,0.005966,0.510257,0.074277,0.205063
shot_noise,0.553380,0.602813,0.553380,0.723280,0.513497,0.710189,0.039883,0.013091,0.334072,0.807971,0.219308,0.084691,0.617440,0.064060,0.105840,0.597680,0.044300,0.125600,0.775634,0.222254,0.052354,0.755926,0.202546,0.032646,0.614255,0.060875,0.109025
impulse_noise,0.588340,0.565351,0.588340,0.766560,0.196443,0.987544,0.391897,0.220984,0.111519,1.000000,0.476821,0.233440,0.543480,0.044860,0.223080,0.508860,0.079480,0.257700,0.731320,0.142980,0.035240,0.711612,0.123272,0.054948,0.655580,0.067240,0.110980
defocus_blur,0.728580,0.707832,0.728580,0.798560,0.644546,0.787872,0.084034,0.010688,0.508744,0.835854,0.219836,0.037294,0.760440,0.031860,0.038120,0.747060,0.018480,0.051500,0.851891,0.123311,0.053331,0.832183,0.103603,0.033623,0.779142,0.050562,0.019418
glass_blur,0.312080,0.478407,0.312080,0.737640,0.084071,0.955647,0.228009,0.218007,0.097829,0.926364,0.214251,0.188724,0.458340,0.146260,0.279300,0.399540,0.087460,0.338100,0.686907,0.374827,0.050733,0.667199,0.355119,0.070441,0.420438,0.108358,0.317202
motion_blur,0.654320,0.678615,0.654320,0.721220,0.551438,0.752160,0.102882,0.030940,0.446204,0.784039,0.208116,0.062819,0.740980,0.086660,0.019760,0.729780,0.075460,0.008560,0.838319,0.183999,0.117099,0.818611,0.164291,0.097391,0.692121,0.037801,0.029099
zoom_blur,0.678100,0.658971,0.678100,0.749580,0.525943,0.741597,0.152157,0.007983,0.414454,0.784449,0.263646,0.034869,0.717180,0.039080,0.032400,0.695140,0.017040,0.054440,0.825283,0.147183,0.075703,0.805576,0.127476,0.055996,0.727688,0.049589,0.021892
snow,0.727040,0.714734,0.727040,0.780740,0.637639,0.756773,0.089401,0.023967,0.503174,0.808773,0.223866,0.028033,0.784500,0.057460,0.003760,0.769480,0.042440,0.011260,0.862015,0.134975,0.081275,0.842307,0.115267,0.061567,0.776728,0.049688,0.004012
frost,0.680080,0.660133,0.680080,0.774240,0.525465,0.781025,0.154615,0.006785,0.360511,0.865724,0.319569,0.091484,0.703800,0.023720,0.070440,0.675880,0.004200,0.098360,0.819307,0.139227,0.045067,0.799599,0.119519,0.025359,0.724333,0.044253,0.049907
fog,0.814340,0.771844,0.814340,0.833520,0.764822,0.805623,0.049518,0.027897,0.662292,0.818967,0.152048,0.014553,0.860360,0.046020,0.026840,0.855540,0.041200,0.022020,0.904115,0.089775,0.070595,0.884408,0.070068,0.050888,0.822111,0.007771,0.011409
brightness,0.890860,0.811605,0.890860,0.895480,0.839234,0.856039,0.051626,0.039441,0.762170,0.854715,0.128690,0.040765,0.900020,0.009160,0.004540,0.902000,0.011140,0.006520,0.928632,0.037772,0.033152,0.908924,0.018064,0.013444,0.888306,0.002554,0.007174
contrast,0.807680,0.739937,0.807680,0.837220,0.698899,0.804756,0.108781,0.032464,0.567770,0.845943,0.239910,0.008723,0.817920,0.010240,0.019300,0.805740,0.001940,0.031480,0.880203,0.072523,0.042983,0.860495,0.052815,0.023275,0.819908,0.012228,0.017312
elastic_transform,0.768020,0.717179,0.768020,0.799440,0.651237,0.769106,0.116783,0.030334,0.525998,0.805593,0.242022,0.006153,0.789240,0.021220,0.010200,0.780520,0.012500,0.018920,0.864709,0.096689,0.065269,0.845002,0.076982,0.045562,0.792705,0.024685,0.006735
pixelate,0.603640,0.667177,0.603640,0.737280,0.577808,0.797148,0.025832,0.059868,0.358646,0.931574,0.244994,0.194294,0.706940,0.103300,0.030340,0.689580,0.085940,0.047700,0.820166,0.216526,0.082886,0.800458,0.196818,0.063178,0.641705,0.038065,0.095575
jpeg_compression,0.757460,0.704069,0.757460,0.792580,0.615840,0.759651,0.141620,0.032929,0.478961,0.819574,0.278499,0.026994,0.769720,0.012260,0.022860,0.754780,0.002680,0.037800,0.853977,0.096517,0.061397,0.834269,0.076809,0.041689,0.802797,0.045337,0.010217
speckle_noise,0.589180,0.622498,0.589180,0.728140,0.516276,0.729748,0.072904,0.001608,0.351897,0.812001,0.237283,0.083861,0.649060,0.059880,0.079080,0.628460,0.039280,0.099680,0.791310,0.202130,0.063170,0.771602,0.182422,0.043462,0.645100,0.055920,0.083040
gaussian_blur,0.622000,0.653058,0.622000,0.749840,0.552906,0.771971,0.069094,0.022131,0.407337,0.831596,0.214663,0.081756,0.683300,0.061300,0.066540,0.663980,0.041980,0.085860,0.811207,0.189207,0.061367,0.791499,0.169499,0.041659,0.694195,0.072195,0.055645
spatter,0.797960,0.750456,0.797960,0.827580,0.719951,0.790285,0.078009,0.037295,0.584904,0.833102,0.213056,0.005522,0.828240,0.030280,0.000660,0.818620,0.020660,0.008960,0.886609,0.088649,0.059029,0.866901,0.068941,0.039321,0.803989,0.006029,0.023591
saturate,0.879200,0.804950,0.879200,0.890200,0.828464,0.848087,0.050736,0.042113,0.742510,0.850623,0.136690,0.039577,0.892360,0.013160,0.002160,0.892220,0.013020,0.002020,0.923400,0.044200,0.033200,0.903693,0.024493,0.013493,0.880046,0.000846,0.010154
