metric,method,type,mean,std
True ACC_ST,True,ST,0.678328,0.142925
True ACC_TA,True,TA,0.782022,0.053261
ENGPE est ACC_ST,ENGPE,ST,0.573206,0.183048
ENGPE est ACC_TA,ENGPE,TA,0.794518,0.072853
ENGPE-TA est ACC_ST,ENGPE-TA,ST,0.447072,0.175392
ENGPE-TA est ACC_TA,ENGPE-TA,TA,0.842758,0.054039
ATC est ACC,ATC,ST,0.723569,0.119553
ATC-NE est ACC,ATC-NE,ST,0.706603,0.130599
AC est ACC,AC,ST,0.830740,0.064258
DOC est ACC,DOC,ST,0.811033,0.064258
COT est ACC,COT,ST,0.720600,0.117558
MAE ENGPE vs ACC_ST,ENGPE,ST,0.106223,0.084494
MAE ENGPE vs ACC_TA,ENGPE,TA,0.046485,0.060903
MAE ENGPE-TA vs ACC_ST,ENGPE-TA,ST,0.231256,0.074086
MAE ENGPE-TA vs ACC_TA,ENGPE-TA,TA,0.070725,0.064957
MAE ATC vs ACC_ST,ATC,ST,0.049963,0.035424
MAE ATC vs ACC_TA,ATC,TA,0.064528,0.078636
MAE ATC-NE vs ACC_ST,ATC-NE,ST,0.037569,0.029110
MAE ATC-NE vs ACC_TA,ATC-NE,TA,0.079537,0.090808
MAE AC vs ACC_ST,AC,ST,0.152412,0.082705
MAE AC vs ACC_TA,AC,TA,0.057768,0.022286
MAE DOC vs ACC_ST,DOC,ST,0.132704,0.082705
MAE DOC vs ACC_TA,DOC,TA,0.042837,0.021609
MAE COT vs ACC_ST,COT,ST,0.042541,0.027795
MAE COT vs ACC_TA,COT,TA,0.062497,0.078568
MANO est ACC (Frobenius norm),MANO,ST,0.676340,0.085149
MAE MANO vs ACC_ST,MANO,ST,0.051759,0.036026
